regime,pkg,rep,h,est,se
varmiss,csdid,1,0,1.969224845280286,.1011700569154874
varmiss,csdid,1,1,2.404425636439118,.1056744109477313
varmiss,csdid,1,2,2.924342357368332,.1047366776116006
varmiss,jwdid,1,0,1.770437887539348,.0666775257266123
varmiss,jwdid,1,1,2.547071904153433,.0807252002828589
varmiss,jwdid,1,2,3.214178241243215,.076559985572065
varmiss,jwdid_uc,1,0,1.770437887539346,.0773727323439892
varmiss,jwdid_uc,1,1,2.547071904153446,.0943155382712988
varmiss,jwdid_uc,1,2,3.214178241243235,.0884230720413859
varmiss,bjs,1,0,1.761867560328028,.0690044914077804
varmiss,bjs,1,1,2.530959126041125,.0824946462029238
varmiss,bjs,1,2,3.211744593878393,.0784008633146564
varmiss,bjs_wtr,1,0,1.92414963459305,.0723299086572987
varmiss,bjs_wtr,1,1,2.459306086631841,.0828313705437148
varmiss,bjs_wtr,1,2,2.947681765224843,.0816180381194476
varmiss,dcdh,1,0,1.633142764487111,.0918220813987018
varmiss,dcdh,1,1,2.118218855605599,.1233931813801556
varmiss,dcdh,1,2,2.789968857521171,.1259364102768435
varmiss,lpdid,1,0,1.54071229006583,.0939914672485057
varmiss,lpdid,1,1,1.988518777113851,.1388357408008947
varmiss,lpdid,1,2,2.767550527408934,.141201424144035
varmiss,lpdid_rw,1,0,1.633142097756841,.0961918678602392
varmiss,lpdid_rw,1,1,2.109842335376921,.1414871224545263
varmiss,lpdid_rw,1,2,2.663703179869765,.1418833302544845
varmiss,sa,1,0,1.751965882946533,.0842083132774262
varmiss,sa,1,1,2.528363487245313,.0986287270701105
varmiss,sa,1,2,3.17150830435307,.1022622234228869
varmiss,csdid,2,0,1.892450220756602,.1001826504454112
varmiss,csdid,2,1,2.520225383740662,.1084957191382323
varmiss,csdid,2,2,2.984436276686588,.1035962759201233
varmiss,jwdid,2,0,1.794383760890325,.0687888324662599
varmiss,jwdid,2,1,2.603344694781261,.0824706410666315
varmiss,jwdid,2,2,3.21635461412521,.0782902242886677
varmiss,jwdid_uc,2,0,1.794383760890332,.0769984561056565
varmiss,jwdid_uc,2,1,2.603344694781255,.0914840722307992
varmiss,jwdid_uc,2,2,3.216354614125199,.0856707960755687
varmiss,bjs,2,0,1.797533438308164,.0696876809827587
varmiss,bjs,2,1,2.602748751229228,.0845609695061817
varmiss,bjs,2,2,3.212746769844671,.0792547852122897
varmiss,bjs_wtr,2,0,1.972573686762189,.0723307513068593
varmiss,bjs_wtr,2,1,2.531050548837811,.0860614997090021
varmiss,bjs_wtr,2,2,3.023276534375327,.0833371983912373
varmiss,dcdh,2,0,1.746949210692126,.088054762494758
varmiss,dcdh,2,1,2.128669150473733,.1274108373074388
varmiss,dcdh,2,2,2.939230045726946,.1211429045407269
varmiss,lpdid,2,0,1.672423788824684,.0911734976683546
varmiss,lpdid,2,1,2.137262228255653,.1440567020383721
varmiss,lpdid,2,2,2.808573549471326,.1420268324523347
varmiss,lpdid_rw,2,0,1.746948788469586,.0917303598233193
varmiss,lpdid_rw,2,1,2.186133337716206,.1464463174138304
varmiss,lpdid_rw,2,2,2.696828563753467,.146440632140144
varmiss,sa,2,0,1.828562644286138,.0837320411451263
varmiss,sa,2,1,2.625574029014958,.0962047337471736
varmiss,sa,2,2,3.228764528641588,.0977094277744537
varmiss,csdid,3,0,1.750604432145483,.1061026562826756
varmiss,csdid,3,1,2.314171535840815,.1142050252075127
varmiss,csdid,3,2,2.907170556404727,.1110979390513776
varmiss,jwdid,3,0,1.816244491548779,.0695137718321512
varmiss,jwdid,3,1,2.619054706643157,.0808713239760915
varmiss,jwdid,3,2,3.333200434139305,.0773746468169794
varmiss,jwdid_uc,3,0,1.816244491548785,.0773049021841895
varmiss,jwdid_uc,3,1,2.619054706643182,.09024483019934
varmiss,jwdid_uc,3,2,3.333200434139345,.0840927451457058
varmiss,bjs,3,0,1.804925233412632,.0709869193465822
varmiss,bjs,3,1,2.584516221552349,.0826220227105481
varmiss,bjs,3,2,3.339325842185644,.0780189919902935
varmiss,bjs_wtr,3,0,1.891125863215052,.0724512184557773
varmiss,bjs_wtr,3,1,2.523556260755527,.0839032490975355
