scan,n_units,T,cohorts,rows,pkg,median_seconds,trials,ok,note
E_default,100,10,4,1000,csdid_analytical,0.0080,10,1,H=5; G_real=4; nevertreated=24%; cov=none; min=0.0080; max=0.0090; agg=0.0025; as published in the speed tables: analytical clustered SEs
E_default,100,10,4,1000,csdid_boot999,0.0585,10,1,H=5; G_real=4; nevertreated=24%; cov=none; min=0.0550; max=0.0760; agg=0.0260; shipped-default inference: wboot reps(999) rseed(20260729) simultaneous bands; accelerator=plugin/plugin-active accel_secs=0.0100; fit=0.032s agg=0.025s
E_default,1000,10,4,10000,csdid_analytical,0.0235,10,1,H=5; G_real=4; nevertreated=18.8%; cov=none; min=0.0220; max=0.0450; agg=0.0040; as published in the speed tables: analytical clustered SEs
E_default,1000,10,4,10000,csdid_boot999,0.0765,10,1,H=5; G_real=4; nevertreated=18.8%; cov=none; min=0.0700; max=0.0880; agg=0.0275; shipped-default inference: wboot reps(999) rseed(20260729) simultaneous bands; accelerator=plugin/plugin-active accel_secs=0.0100; fit=0.047s agg=0.027s
E_default,10000,10,4,100000,csdid_analytical,0.1360,10,1,H=5; G_real=4; nevertreated=19.8%; cov=none; min=0.1320; max=0.1580; agg=0.0180; as published in the speed tables: analytical clustered SEs
E_default,10000,10,4,100000,csdid_boot999,0.2010,10,1,H=5; G_real=4; nevertreated=19.8%; cov=none; min=0.1940; max=0.2360; agg=0.0460; shipped-default inference: wboot reps(999) rseed(20260729) simultaneous bands; accelerator=plugin/plugin-active accel_secs=0.0100; fit=0.151s agg=0.049s
E_default,100000,10,4,1000000,csdid_analytical,1.3065,10,1,H=5; G_real=4; nevertreated=20.1%; cov=none; min=1.2450; max=1.3750; agg=0.1575; as published in the speed tables: analytical clustered SEs
E_default,100000,10,4,1000000,csdid_boot999,1.4955,10,1,H=5; G_real=4; nevertreated=20.1%; cov=none; min=1.4800; max=1.6340; agg=0.2225; shipped-default inference: wboot reps(999) rseed(20260729) simultaneous bands; accelerator=plugin/plugin-active accel_secs=0.0100; fit=1.299s agg=0.231s
G_bal,1000,10,4,10000,csdid_analytical,0.0230,10,1,H=5; G_real=4; nevertreated=18.8%; cov=none; min=0.0210; max=0.0380; agg=0.0040; as published in the speed tables: analytical clustered SEs
G_bal,1000,10,4,10000,jwdid,0.3565,10,1,H=5; G_real=4; nevertreated=18.8%; cov=none; min=0.3170; max=0.4240; agg=0.2260
G_bal,1000,10,4,10000,did_imputation,0.8250,10,1,H=5; G_real=4; nevertreated=18.8%; cov=none; min=0.7400; max=1.0690; ; N=9799; autosample requested; nothing dropped
G_bal,1000,10,4,10000,lpdid,0.2385,10,1,H=5; G_real=4; nevertreated=18.8%; cov=none; min=0.2130; max=0.2840
G_bal,1000,10,4,10000,eventstudyinteract,0.2990,10,1,H=5; G_real=4; nevertreated=18.8%; cov=none; min=0.2430; max=0.3610; never-treated control cohort (the command takes no not-yet-treated option); dummy build timed
G_bal,1000,10,4,10000,did_multiplegt_dyn,1.0640,10,1,H=5; G_real=4; nevertreated=18.8%; cov=none; min=0.9780; max=1.2200
G_bal,1000,10,4,10000,xthdid,0.6455,10,1,H=5; G_real=4; nevertreated=18.8%; cov=none; min=0.5690; max=0.7260; agg=0.0080; Stata 19.5 native; arm=ra; vce(cluster) as in every column; cohort derived by the command
G_bal,10000,10,4,100000,csdid_analytical,0.1390,10,1,H=5; G_real=4; nevertreated=19.8%; cov=none; min=0.1300; max=0.1680; agg=0.0170; as published in the speed tables: analytical clustered SEs
G_bal,10000,10,4,100000,jwdid,1.7500,10,1,H=5; G_real=4; nevertreated=19.8%; cov=none; min=1.6350; max=1.7990; agg=1.0710
G_bal,10000,10,4,100000,did_imputation,4.3510,10,1,H=5; G_real=4; nevertreated=19.8%; cov=none; min=4.1860; max=4.4410; ; N=98002; autosample requested; nothing dropped
G_bal,10000,10,4,100000,lpdid,1.0210,10,1,H=5; G_real=4; nevertreated=19.8%; cov=none; min=0.9560; max=1.0470
G_bal,10000,10,4,100000,eventstudyinteract,1.8785,10,1,H=5; G_real=4; nevertreated=19.8%; cov=none; min=1.7650; max=2.0470; never-treated control cohort (the command takes no not-yet-treated option); dummy build timed
G_bal,10000,10,4,100000,did_multiplegt_dyn,6.1170,10,1,H=5; G_real=4; nevertreated=19.8%; cov=none; min=5.5360; max=7.4190
G_bal,10000,10,4,100000,xthdid,5.1320,10,1,H=5; G_real=4; nevertreated=19.8%; cov=none; min=4.7980; max=5.4540; agg=0.0340; Stata 19.5 native; arm=ra; vce(cluster) as in every column; cohort derived by the command
G_bal,100000,10,4,1000000,csdid_analytical,1.2135,10,1,H=5; G_real=4; nevertreated=20.1%; cov=none; min=1.1860; max=1.2270; agg=0.1395; as published in the speed tables: analytical clustered SEs
G_bal,100000,10,4,1000000,jwdid,12.0355,10,1,H=5; G_real=4; nevertreated=20.1%; cov=none; min=11.9250; max=12.4250; agg=6.8080
G_bal,100000,10,4,1000000,did_imputation,45.7400,10,1,H=5; G_real=4; nevertreated=20.1%; cov=none; min=44.0360; max=50.1440; ; N=979845; autosample requested; nothing dropped
G_bal,100000,10,4,1000000,lpdid,8.5715,10,1,H=5; G_real=4; nevertreated=20.1%; cov=none; min=8.5290; max=9.2350
G_bal,100000,10,4,1000000,eventstudyinteract,14.2260,10,1,H=5; G_real=4; nevertreated=20.1%; cov=none; min=14.0570; max=16.1360; never-treated control cohort (the command takes no not-yet-treated option); dummy build timed
G_bal,100000,10,4,1000000,did_multiplegt_dyn,62.1385,10,1,H=5; G_real=4; nevertreated=20.1%; cov=none; min=61.0000; max=69.0000
G_bal,100000,10,4,1000000,xthdid,68.2220,10,1,H=5; G_real=4; nevertreated=20.1%; cov=none; min=67.2480; max=70.7910; agg=0.3270; Stata 19.5 native; arm=ra; vce(cluster) as in every column; cohort derived by the command
A_unbal,1000,10,4,8496,csdid_balfull,0.0160,10,1,H=5; G_real=4; nevertreated=18.9%; cov=none; min=0.0150; max=0.0200; agg=0.0030; bal(full) is the shipped default; drops units not observed in every period; csdid shipped default bal(full); used_N=1870
A_unbal,1000,10,4,8496,csdid_balpair,0.0330,10,1,H=5; G_real=4; nevertreated=18.9%; cov=none; min=0.0320; max=0.0440; agg=0.0040; bal(pair): per-comparison balancing; Version 1.82's estimand; csdid bal(pair); per-comparison balancing; used_N=8496
A_unbal,1000,10,4,8496,csdid_balnone,0.0575,10,1,H=5; G_real=4; nevertreated=18.9%; cov=none; min=0.0540; max=0.0680; agg=0.0040; bal(none); same rows as the rivals
A_unbal,1000,10,4,8496,jwdid,0.3170,10,1,H=5; G_real=4; nevertreated=18.9%; cov=none; min=0.3040; max=0.3320; agg=0.1935
A_unbal,1000,10,4,8496,did_imputation,0.7020,10,1,H=5; G_real=4; nevertreated=18.9%; cov=none; min=0.6890; max=0.7200; ; N=8318; autosample requested; nothing dropped
A_unbal,1000,10,4,8496,lpdid,0.1980,10,1,H=5; G_real=4; nevertreated=18.9%; cov=none; min=0.1900; max=0.2590
A_unbal,1000,10,4,8496,eventstudyinteract,0.2735,10,1,H=5; G_real=4; nevertreated=18.9%; cov=none; min=0.2620; max=0.2850; never-treated control cohort (the command takes no not-yet-treated option); dummy build timed
A_unbal,1000,10,4,8496,did_multiplegt_dyn,0.9535,10,1,H=5; G_real=4; nevertreated=18.9%; cov=none; min=0.9380; max=0.9690
A_unbal,1000,10,4,8496,xthdid,0.9030,10,1,H=5; G_real=4; nevertreated=18.9%; cov=none; min=0.8900; max=1.0470; agg=0.0100; Stata 19.5 native; arm=ra; vce(cluster) as in every column; cohort derived by the command
A_unbal,10000,10,4,85219,csdid_balfull,0.0920,10,1,H=5; G_real=4; nevertreated=19.9%; cov=none; min=0.0900; max=0.1000; agg=0.0060; bal(full) is the shipped default; drops units not observed in every period; csdid shipped default bal(full); used_N=20600
A_unbal,10000,10,4,85219,csdid_balpair,0.2075,10,1,H=5; G_real=4; nevertreated=19.9%; cov=none; min=0.2010; max=0.2210; agg=0.0170; bal(pair): per-comparison balancing; Version 1.82's estimand; csdid bal(pair); per-comparison balancing; used_N=85219
A_unbal,10000,10,4,85219,csdid_balnone,0.3735,10,1,H=5; G_real=4; nevertreated=19.9%; cov=none; min=0.3620; max=0.4290; agg=0.0160; bal(none); same rows as the rivals
A_unbal,10000,10,4,85219,jwdid,1.4740,10,1,H=5; G_real=4; nevertreated=19.9%; cov=none; min=1.4460; max=1.5920; agg=0.8465
A_unbal,10000,10,4,85219,did_imputation,4.4710,10,1,H=5; G_real=4; nevertreated=19.9%; cov=none; min=4.4250; max=4.6840; ; N=83446; autosample requested; nothing dropped
A_unbal,10000,10,4,85219,lpdid,0.8135,10,1,H=5; G_real=4; nevertreated=19.9%; cov=none; min=0.7950; max=0.8560
A_unbal,10000,10,4,85219,eventstudyinteract,1.5045,10,1,H=5; G_real=4; nevertreated=19.9%; cov=none; min=1.4710; max=1.5450; never-treated control cohort (the command takes no not-yet-treated option); dummy build timed
A_unbal,10000,10,4,85219,did_multiplegt_dyn,4.8665,10,1,H=5; G_real=4; nevertreated=19.9%; cov=none; min=4.8060; max=5.0250
A_unbal,10000,10,4,85219,xthdid,7.1470,10,1,H=5; G_real=4; nevertreated=19.9%; cov=none; min=7.0490; max=7.2490; agg=0.0445; Stata 19.5 native; arm=ra; vce(cluster) as in every column; cohort derived by the command
A_unbal,100000,10,4,849905,csdid_balfull,0.9265,10,1,H=5; G_real=4; nevertreated=20.1%; cov=none; min=0.8370; max=1.0380; agg=0.0400; bal(full) is the shipped default; drops units not observed in every period; csdid shipped default bal(full); used_N=197490
A_unbal,100000,10,4,849905,csdid_balpair,1.6530,10,1,H=5; G_real=4; nevertreated=20.1%; cov=none; min=1.5960; max=2.3450; agg=0.1460; bal(pair): per-comparison balancing; Version 1.82's estimand; csdid bal(pair); per-comparison balancing; used_N=849905
A_unbal,100000,10,4,849905,csdid_balnone,3.0805,10,1,H=5; G_real=4; nevertreated=20.1%; cov=none; min=3.0460; max=3.1180; agg=0.1380; bal(none); same rows as the rivals
A_unbal,100000,10,4,849905,jwdid,11.1770,10,1,H=5; G_real=4; nevertreated=20.1%; cov=none; min=11.1080; max=11.6130; agg=5.8035
A_unbal,100000,10,4,849905,did_imputation,39.2280,10,1,H=5; G_real=4; nevertreated=20.1%; cov=none; min=39.1060; max=44.5760; ; N=832313; autosample requested; nothing dropped
A_unbal,100000,10,4,849905,lpdid,6.0295,10,1,H=5; G_real=4; nevertreated=20.1%; cov=none; min=5.9960; max=6.1340
A_unbal,100000,10,4,849905,eventstudyinteract,13.1365,10,1,H=5; G_real=4; nevertreated=20.1%; cov=none; min=12.9500; max=13.3290; never-treated control cohort (the command takes no not-yet-treated option); dummy build timed
A_unbal,100000,10,4,849905,did_multiplegt_dyn,60.4545,10,1,H=5; G_real=4; nevertreated=20.1%; cov=none; min=59.6330; max=64.2080
A_unbal,100000,10,4,849905,xthdid,104.6275,10,1,H=5; G_real=4; nevertreated=20.1%; cov=none; min=102.4710; max=106.9300; agg=0.4550; Stata 19.5 native; arm=ra; vce(cluster) as in every column; cohort derived by the command
B_rcs,1000,10,4,10000,csdid,0.0805,10,1,H=5; G_real=4; nevertreated=18.8%; cov=none; min=0.0770; max=0.0870; agg=0.0165
B_rcs,1000,10,4,10000,flexdid,0.1695,10,1,H=5; G_real=4; nevertreated=18.8%; cov=none; min=0.1660; max=0.1790; vce(cluster) as in every column; overall displayed at estimation; no band or bootstrap option
B_rcs,1000,10,4,10000,jwdid,0.3275,10,1,H=5; G_real=4; nevertreated=18.8%; cov=none; min=0.3200; max=0.3520; agg=0.2110
B_rcs,1000,10,4,10000,did_imputation,0.2550,10,1,H=5; G_real=4; nevertreated=18.8%; cov=none; min=0.2460; max=0.2730; ; N=5559; autosample dropped: tau0 tau1 tau2 tau3 tau4 tau5
B_rcs,1000,10,4,10000,hdid,1.0195,10,1,H=5; G_real=4; nevertreated=18.8%; cov=none; min=1.0000; max=1.0780; agg=0.0260; Stata 19.5 native; repeated cross sections; arm=ra
B_rcs,1000,10,4,10000,csdid_cov,0.1115,10,1,H=5; G_real=4; nevertreated=18.8%; cov=x; min=0.1050; max=0.1240; agg=0.0160
B_rcs,1000,10,4,10000,flexdid_cov,0.2740,10,1,H=5; G_real=4; nevertreated=18.8%; cov=x; min=0.2630; max=0.2920; vce(cluster) as in every column; overall displayed at estimation; no band or bootstrap option
B_rcs,1000,10,4,10000,jwdid_cov,0.6000,10,1,H=5; G_real=4; nevertreated=18.8%; cov=x; min=0.5740; max=0.6660; agg=0.3505
B_rcs,1000,10,4,10000,did_imputation_cov,0.2925,10,1,H=5; G_real=4; nevertreated=18.8%; cov=x; min=0.2760; max=0.3140; ; N=5559; autosample dropped: tau0 tau1 tau2 tau3 tau4 tau5
B_rcs,10000,10,4,100000,csdid,0.6005,10,1,H=5; G_real=4; nevertreated=19.8%; cov=none; min=0.5870; max=0.6430; agg=0.1385
B_rcs,10000,10,4,100000,flexdid,0.8105,10,1,H=5; G_real=4; nevertreated=19.8%; cov=none; min=0.8000; max=0.8920; vce(cluster) as in every column; overall displayed at estimation; no band or bootstrap option
B_rcs,10000,10,4,100000,jwdid,2.3190,10,1,H=5; G_real=4; nevertreated=19.8%; cov=none; min=1.6800; max=2.8900; agg=1.3675
B_rcs,10000,10,4,100000,did_imputation,1.6100,10,1,H=5; G_real=4; nevertreated=19.8%; cov=none; min=1.5940; max=1.6290; ; N=55939; autosample dropped: tau0 tau1 tau2 tau3 tau4 tau5
B_rcs,10000,10,4,100000,hdid,5.5785,10,1,H=5; G_real=4; nevertreated=19.8%; cov=none; min=5.5130; max=5.6780; agg=0.2525; Stata 19.5 native; repeated cross sections; arm=ra
B_rcs,10000,10,4,100000,csdid_cov,0.7430,10,1,H=5; G_real=4; nevertreated=19.8%; cov=x; min=0.7160; max=0.7690; agg=0.1355
B_rcs,10000,10,4,100000,flexdid_cov,1.2190,10,1,H=5; G_real=4; nevertreated=19.8%; cov=x; min=1.2060; max=1.2460; vce(cluster) as in every column; overall displayed at estimation; no band or bootstrap option
B_rcs,10000,10,4,100000,jwdid_cov,3.1855,10,1,H=5; G_real=4; nevertreated=19.8%; cov=x; min=3.1220; max=3.3580; agg=1.5180
B_rcs,10000,10,4,100000,did_imputation_cov,1.7270,10,1,H=5; G_real=4; nevertreated=19.8%; cov=x; min=1.6980; max=1.7980; ; N=55939; autosample dropped: tau0 tau1 tau2 tau3 tau4 tau5
B_rcs,100000,10,4,1000000,csdid,6.0230,10,1,H=5; G_real=4; nevertreated=20.1%; cov=none; min=5.9460; max=6.1760; agg=1.4955
B_rcs,100000,10,4,1000000,flexdid,7.0800,10,1,H=5; G_real=4; nevertreated=20.1%; cov=none; min=6.9440; max=8.8120; vce(cluster) as in every column; overall displayed at estimation; no band or bootstrap option
