round,benchmark,stata_seconds,r_seconds,stata_over_r,max_stata_over_r
1,aggregation_bootstrap_dynamic_medium,0.054,0.031,1.74194,3
1,aggregation_calendar_medium,0.00185,0.00755,0.245033,1.8
1,aggregation_group_medium,0.00095,0.0011,0.863636,1.8
1,aggregation_medium,0.0025,0.0121,0.206612,1.8
1,aggregation_simple_medium,0.0014,0.00125,1.12,1.8
1,medium_panel,0.056,0.034,1.64706,1.8
1,medium_panel_bootstrap_cband_reg,0.15,0.072,2.08333,3
1,medium_panel_bootstrap_clustered_reg,0.088,0.053,1.66038,3
1,medium_panel_bootstrap_covariate_dr,0.198,0.11,1.8,3
1,medium_panel_bootstrap_default,0.127,0.08,1.5875,1.8
1,medium_panel_bootstrap_reg,0.15,0.072,2.08333,3
1,medium_panel_bootstrap_weighted_ipw,0.166,0.084,1.97619,3
1,medium_panel_clustered_reg,0.067,0.054,1.24074,1.8
1,medium_panel_covariate_dr,0.105,0.068,1.54412,1.8
1,medium_panel_fast_lean,0.055,0.034,1.61765,1.8
1,medium_panel_performance_auto,0.056,0.034,1.64706,1.8
1,medium_panel_weighted_ipw,0.0726667,0.0433333,1.67692,1.8
1,medium_unbalanced_bootstrap_cov_weight_dr,0.44,0.361,1.21884,3
1,medium_unbalanced_cov_weight_dr,0.347,0.154,2.25325,3
1,plot_attgt_medium,0.0017,0.03025,0.0561983,1.8
1,plot_calendar_medium,0.00065,0.0238,0.0273109,1.8
1,plot_dynamic_medium,0.00065,0.0234,0.0277778,1.8
1,plot_group_medium,0.00065,0.0238,0.0273109,1.8
1,small_smoke,0.003,0.029,0.103448,1.8
2,aggregation_bootstrap_dynamic_medium,0.057,0.031,1.83871,3
2,aggregation_calendar_medium,0.0018,0.00755,0.238411,1.8
2,aggregation_group_medium,0.00095,0.001,0.95,1.8
2,aggregation_medium,0.00265,0.0122,0.217213,1.8
2,aggregation_simple_medium,0.0015,0.00125,1.2,1.8
2,medium_panel,0.056,0.033,1.69697,1.8
2,medium_panel_bootstrap_cband_reg,0.151,0.073,2.06849,3
2,medium_panel_bootstrap_clustered_reg,0.088,0.053,1.66038,3
2,medium_panel_bootstrap_covariate_dr,0.199,0.106,1.87736,3
2,medium_panel_bootstrap_default,0.129,0.08,1.6125,1.8
2,medium_panel_bootstrap_reg,0.152,0.071,2.14085,3
2,medium_panel_bootstrap_weighted_ipw,0.166,0.083,2,3
2,medium_panel_clustered_reg,0.067,0.054,1.24074,1.8
2,medium_panel_covariate_dr,0.106,0.067,1.58209,1.8
2,medium_panel_fast_lean,0.055,0.033,1.66667,1.8
2,medium_panel_performance_auto,0.055,0.033,1.66667,1.8
2,medium_panel_weighted_ipw,0.074,0.044,1.68182,1.8
2,medium_unbalanced_bootstrap_cov_weight_dr,0.444,0.363,1.22314,3
2,medium_unbalanced_cov_weight_dr,0.348,0.151,2.30464,3
