round,benchmark,stata_seconds,r_seconds,stata_over_r,max_stata_over_r
1,aggregation_bootstrap_dynamic_medium,0.056,0.034,1.64706,3
1,aggregation_calendar_medium,0.002,0.0081,0.246914,1.8
1,aggregation_group_medium,0.0011,0.001,1.1,1.8
1,aggregation_medium,0.00275,0.0129,0.213178,1.8
1,aggregation_simple_medium,0.00165,0.0012,1.375,1.8
1,medium_panel,0.061,0.034,1.79412,1.9
1,medium_panel_bootstrap_cband_reg,0.147,0.076,1.93421,3
1,medium_panel_bootstrap_clustered_reg,0.092,0.055,1.67273,3
1,medium_panel_bootstrap_covariate_dr,0.199,0.11,1.80909,3
1,medium_panel_bootstrap_default,0.137,0.084,1.63095,1.85
1,medium_panel_bootstrap_reg,0.143,0.074,1.93243,3
1,medium_panel_bootstrap_weighted_ipw,0.163,0.088,1.85227,3
1,medium_panel_clustered_reg,0.073,0.056,1.30357,1.8
1,medium_panel_covariate_dr,0.119,0.072,1.65278,1.9
1,medium_panel_fast_lean,0.061,0.034,1.79412,1.9
1,medium_panel_performance_auto,0.063,0.034,1.85294,1.9
1,medium_panel_weighted_ipw,0.0816667,0.047,1.73759,2
1,medium_unbalanced_bootstrap_cov_weight_dr,0.46,0.362,1.27072,3
1,medium_unbalanced_cov_weight_dr,0.371,0.154,2.40909,3
1,plot_attgt_medium,0.0019,0.03125,0.0608,1.8
1,plot_calendar_medium,0.00065,0.0246,0.0264228,1.8
1,plot_dynamic_medium,0.0007,0.02495,0.0280561,1.8
1,plot_group_medium,0.0007,0.0243,0.0288066,1.8
1,small_smoke,0.003,0.032,0.09375,1.8
2,aggregation_bootstrap_dynamic_medium,0.055,0.034,1.61765,3
2,aggregation_calendar_medium,0.00205,0.0082,0.25,1.8
2,aggregation_group_medium,0.00115,0.0011,1.04545,1.8
2,aggregation_medium,0.0027,0.0136,0.198529,1.8
2,aggregation_simple_medium,0.0017,0.00125,1.36,1.8
2,medium_panel,0.063,0.034,1.85294,1.9
2,medium_panel_bootstrap_cband_reg,0.149,0.075,1.98667,3
2,medium_panel_bootstrap_clustered_reg,0.097,0.054,1.7963,3
2,medium_panel_bootstrap_covariate_dr,0.208,0.109,1.90826,3
2,medium_panel_bootstrap_default,0.142,0.083,1.71084,1.85
2,medium_panel_bootstrap_reg,0.152,0.074,2.05405,3
2,medium_panel_bootstrap_weighted_ipw,0.169,0.087,1.94253,3
2,medium_panel_clustered_reg,0.081,0.056,1.44643,1.8
2,medium_panel_covariate_dr,0.119,0.069,1.72464,1.9
2,medium_panel_fast_lean,0.065,0.034,1.91176,1.9
2,medium_panel_performance_auto,0.065,0.034,1.91176,1.9
2,medium_panel_weighted_ipw,0.0826667,0.0433333,1.90769,2
2,medium_unbalanced_bootstrap_cov_weight_dr,0.463,0.366,1.26503,3
2,medium_unbalanced_cov_weight_dr,0.369,0.159,2.32075,3
2,plot_attgt_medium,0.0019,0.03415,0.0556369,1.8
2,plot_calendar_medium,0.0006,0.0259,0.023166,1.8
2,plot_dynamic_medium,0.00065,0.0259,0.0250965,1.8
2,plot_group_medium,0.0006,0.0258,0.0232558,1.8
2,small_smoke,0.004,0.027,0.148148,1.8
3,aggregation_bootstrap_dynamic_medium,0.055,0.033,1.66667,3
3,aggregation_calendar_medium,0.00195,0.00785,0.248408,1.8
3,aggregation_group_medium,0.0011,0.001,1.1,1.8
3,aggregation_medium,0.00265,0.01245,0.212851,1.8
3,aggregation_simple_medium,0.00155,0.0013,1.19231,1.8
3,medium_panel,0.062,0.033,1.87879,1.9
3,medium_panel_bootstrap_cband_reg,0.146,0.074,1.97297,3
3,medium_panel_bootstrap_clustered_reg,0.092,0.054,1.7037,3
3,medium_panel_bootstrap_covariate_dr,0.201,0.11,1.82727,3
3,medium_panel_bootstrap_default,0.138,0.081,1.7037,1.85
3,medium_panel_bootstrap_reg,0.146,0.074,1.97297,3
3,medium_panel_bootstrap_weighted_ipw,0.161,0.087,1.85057,3
3,medium_panel_clustered_reg,0.073,0.056,1.30357,1.8
3,medium_panel_covariate_dr,0.117,0.068,1.72059,1.9
3,medium_panel_fast_lean,0.061,0.033,1.84848,1.9
3,medium_panel_performance_auto,0.06,0.033,1.81818,1.9
3,medium_panel_weighted_ipw,0.079,0.045,1.75556,2
3,medium_unbalanced_bootstrap_cov_weight_dr,0.455,0.367,1.23978,3
3,medium_unbalanced_cov_weight_dr,0.375,0.173,2.16763,3
3,plot_attgt_medium,0.0024,0.03105,0.0772947,1.8
3,plot_calendar_medium,0.0006,0.0243,0.0246914,1.8
3,plot_dynamic_medium,0.00065,0.0242,0.0268595,1.8
3,plot_group_medium,0.0006,0.0241,0.0248963,1.8
3,small_smoke,0.004,0.029,0.137931,1.8
4,aggregation_bootstrap_dynamic_medium,0.057,0.032,1.78125,3
4,aggregation_calendar_medium,0.002,0.0079,0.253165,1.8
4,aggregation_group_medium,0.00115,0.001,1.15,1.8
4,aggregation_medium,0.00285,0.01295,0.220077,1.8
4,aggregation_simple_medium,0.00175,0.00125,1.4,1.8
4,medium_panel,0.06,0.033,1.81818,1.9
4,medium_panel_bootstrap_cband_reg,0.145,0.074,1.95946,3
4,medium_panel_bootstrap_clustered_reg,0.093,0.054,1.72222,3
4,medium_panel_bootstrap_covariate_dr,0.201,0.115,1.74783,3
4,medium_panel_bootstrap_default,0.139,0.081,1.71605,1.85
4,medium_panel_bootstrap_reg,0.145,0.072,2.01389,3
4,medium_panel_bootstrap_weighted_ipw,0.164,0.086,1.90698,3
4,medium_panel_clustered_reg,0.073,0.055,1.32727,1.8
4,medium_panel_covariate_dr,0.122,0.069,1.76812,1.9
4,medium_panel_fast_lean,0.06,0.033,1.81818,1.9
4,medium_panel_performance_auto,0.059,0.033,1.78788,1.9
4,medium_panel_weighted_ipw,0.0793333,0.043,1.84496,2
4,medium_unbalanced_bootstrap_cov_weight_dr,0.455,0.368,1.23641,3
4,medium_unbalanced_cov_weight_dr,0.371,0.154,2.40909,3
4,plot_attgt_medium,0.00205,0.03055,0.0671031,1.8
4,plot_calendar_medium,0.0006,0.0247,0.0242915,1.8
4,plot_dynamic_medium,0.00075,0.0248,0.0302419,1.8
4,plot_group_medium,0.00065,0.0249,0.0261044,1.8
4,small_smoke,0.003,0.027,0.111111,1.8
5,aggregation_bootstrap_dynamic_medium,0.056,0.032,1.75,3
5,aggregation_calendar_medium,0.00195,0.00815,0.239264,1.8
5,aggregation_group_medium,0.00115,0.001,1.15,1.8
5,aggregation_medium,0.00275,0.0128,0.214844,1.8
5,aggregation_simple_medium,0.00165,0.00125,1.32,1.8
5,medium_panel,0.062,0.034,1.82353,1.9
5,medium_panel_bootstrap_cband_reg,0.146,0.074,1.97297,3
5,medium_panel_bootstrap_clustered_reg,0.094,0.053,1.77358,3
5,medium_panel_bootstrap_covariate_dr,0.197,0.11,1.79091,3
5,medium_panel_bootstrap_default,0.139,0.081,1.71605,1.85
5,medium_panel_bootstrap_reg,0.145,0.074,1.95946,3
