tree,filesystem,run,cell,nunits,nobs,seconds,min,max
head,repo,s2head-r1,panel_reg_analytic,40000,400000,.421,.418,.421
head,repo,s2head-r1,panel_dr_cov,40000,400000,.8319999999999999,.827,.832
head,repo,s2head-r1,panel_reg_cluster,40000,400000,.47,.461,.475
head,repo,s2head-r1,rcs_reg,40000,400000,1.37,1.332,1.372
head,repo,s2head-r1,unbal_reg_none,40000,400000,.416,.413,.418
head,repo,s2head-r1,panel_reg_wboot,40000,400000,.55,.546,.5600000000000001
parent,repo,wtparent-r1,panel_reg_analytic,40000,400000,.419,.415,.424
parent,repo,wtparent-r1,panel_dr_cov,40000,400000,.8160000000000001,.8120000000000001,.841
parent,repo,wtparent-r1,panel_reg_cluster,40000,400000,.4699999999999999,.462,.477
parent,repo,wtparent-r1,rcs_reg,40000,400000,1.339,1.323,1.346
parent,repo,wtparent-r1,unbal_reg_none,40000,400000,.425,.408,.4330000000000001
parent,repo,wtparent-r1,panel_reg_wboot,40000,400000,.538,.5349999999999999,.5409999999999999
head,repo,s2head-r2,panel_reg_analytic,40000,400000,.42,.415,.429
head,repo,s2head-r2,panel_dr_cov,40000,400000,.8330000000000001,.832,.834
head,repo,s2head-r2,panel_reg_cluster,40000,400000,.4699999999999999,.467,.471
head,repo,s2head-r2,rcs_reg,40000,400000,1.353,1.336,1.488
head,repo,s2head-r2,unbal_reg_none,40000,400000,.413,.41,.421
head,repo,s2head-r2,panel_reg_wboot,40000,400000,.5400000000000001,.535,.54
parent,repo,wtparent-r2,panel_reg_analytic,40000,400000,.418,.417,.419
parent,repo,wtparent-r2,panel_dr_cov,40000,400000,.827,.823,.831
parent,repo,wtparent-r2,panel_reg_cluster,40000,400000,.462,.458,.463
parent,repo,wtparent-r2,rcs_reg,40000,400000,1.325,1.317,1.346
parent,repo,wtparent-r2,unbal_reg_none,40000,400000,.407,.405,.413
parent,repo,wtparent-r2,panel_reg_wboot,40000,400000,.5350000000000001,.532,.538
head,repo,s2head-r3,panel_reg_analytic,40000,400000,.42,.419,.4379999999999999
head,repo,s2head-r3,panel_dr_cov,40000,400000,.821,.821,.832
head,repo,s2head-r3,panel_reg_cluster,40000,400000,.465,.461,.475
head,repo,s2head-r3,rcs_reg,40000,400000,1.352,1.326,1.388
head,repo,s2head-r3,unbal_reg_none,40000,400000,.423,.417,.425
head,repo,s2head-r3,panel_reg_wboot,40000,400000,.5509999999999999,.538,.554
parent,repo,wtparent-r3,panel_reg_analytic,40000,400000,.417,.417,.418
parent,repo,wtparent-r3,panel_dr_cov,40000,400000,.8180000000000001,.8160000000000001,.8220000000000001
parent,repo,wtparent-r3,panel_reg_cluster,40000,400000,.464,.463,.464
parent,repo,wtparent-r3,rcs_reg,40000,400000,1.337,1.333,1.347
parent,repo,wtparent-r3,unbal_reg_none,40000,400000,.411,.409,.414
parent,repo,wtparent-r3,panel_reg_wboot,40000,400000,.5389999999999999,.536,.5389999999999999
head,repo,s2head-r4,panel_reg_analytic,40000,400000,.418,.418,.418
head,repo,s2head-r4,panel_dr_cov,40000,400000,.829,.825,.833
head,repo,s2head-r4,panel_reg_cluster,40000,400000,.467,.464,.47
head,repo,s2head-r4,rcs_reg,40000,400000,1.337,1.335,1.338
head,repo,s2head-r4,unbal_reg_none,40000,400000,.411,.41,.412
head,repo,s2head-r4,panel_reg_wboot,40000,400000,.535,.5329999999999999,.55
parent,repo,wtparent-r4,panel_reg_analytic,40000,400000,.429,.419,.436
parent,repo,wtparent-r4,panel_dr_cov,40000,400000,.832,.831,.857
parent,repo,wtparent-r4,panel_reg_cluster,40000,400000,.472,.47,.482
parent,repo,wtparent-r4,rcs_reg,40000,400000,1.337,1.331,1.385
parent,repo,wtparent-r4,unbal_reg_none,40000,400000,.413,.409,.4370000000000001
parent,repo,wtparent-r4,panel_reg_wboot,40000,400000,.54,.5369999999999999,.544
head,repo,s2head-r5,panel_reg_analytic,40000,400000,.422,.415,.423
head,repo,s2head-r5,panel_dr_cov,40000,400000,.8339999999999999,.8280000000000001,.837
head,repo,s2head-r5,panel_reg_cluster,40000,400000,.4650000000000001,.464,.472
head,repo,s2head-r5,rcs_reg,40000,400000,1.358,1.331,1.391
head,repo,s2head-r5,unbal_reg_none,40000,400000,.417,.416,.424
head,repo,s2head-r5,panel_reg_wboot,40000,400000,.55,.5369999999999999,.556
parent,repo,wtparent-r5,panel_reg_analytic,40000,400000,.421,.418,.422
parent,repo,wtparent-r5,panel_dr_cov,40000,400000,.8200000000000002,.82,.8280000000000001
parent,repo,wtparent-r5,panel_reg_cluster,40000,400000,.464,.463,.465
parent,repo,wtparent-r5,rcs_reg,40000,400000,1.357,1.331,1.381
parent,repo,wtparent-r5,unbal_reg_none,40000,400000,.417,.416,.4429999999999999
parent,repo,wtparent-r5,panel_reg_wboot,40000,400000,.5409999999999999,.5369999999999999,.543
head,repo,s2head-r6,panel_reg_analytic,40000,400000,.419,.417,.4409999999999999
head,repo,s2head-r6,panel_dr_cov,40000,400000,.8240000000000001,.823,.829
head,repo,s2head-r6,panel_reg_cluster,40000,400000,.463,.46,.466
head,repo,s2head-r6,rcs_reg,40000,400000,1.346,1.338,1.357
head,repo,s2head-r6,unbal_reg_none,40000,400000,.413,.411,.423
head,repo,s2head-r6,panel_reg_wboot,40000,400000,.5419999999999999,.539,.542
parent,repo,wtparent-r6,panel_reg_analytic,40000,400000,.416,.415,.418
parent,repo,wtparent-r6,panel_dr_cov,40000,400000,.819,.8160000000000001,.833
parent,repo,wtparent-r6,panel_reg_cluster,40000,400000,.461,.456,.469
parent,repo,wtparent-r6,rcs_reg,40000,400000,1.339,1.337,1.353
parent,repo,wtparent-r6,unbal_reg_none,40000,400000,.409,.405,.415
parent,repo,wtparent-r6,panel_reg_wboot,40000,400000,.538,.536,.5409999999999999
head,worktree,wthead-r1,panel_reg_analytic,40000,400000,.418,.417,.422
head,worktree,wthead-r1,panel_dr_cov,40000,400000,.826,.8220000000000001,.8260000000000001
head,worktree,wthead-r1,panel_reg_cluster,40000,400000,.471,.471,.475
head,worktree,wthead-r1,rcs_reg,40000,400000,1.362,1.361,1.374
head,worktree,wthead-r1,unbal_reg_none,40000,400000,.421,.413,.425
head,worktree,wthead-r1,panel_reg_wboot,40000,400000,.5429999999999999,.542,.5449999999999999
head,worktree,wthead2-r1,panel_reg_analytic,40000,400000,.421,.419,.426
head,worktree,wthead2-r1,panel_dr_cov,40000,400000,.829,.821,.83
head,worktree,wthead2-r1,panel_reg_cluster,40000,400000,.4729999999999999,.467,.484
head,worktree,wthead2-r1,rcs_reg,40000,400000,1.345,1.34,1.357
head,worktree,wthead2-r1,unbal_reg_none,40000,400000,.416,.412,.422
head,worktree,wthead2-r1,panel_reg_wboot,40000,400000,.5460000000000002,.5409999999999999,.553
parent,worktree,wtp2-r1,panel_reg_analytic,40000,400000,.427,.423,.428
parent,worktree,wtp2-r1,panel_dr_cov,40000,400000,.823,.819,.829
parent,worktree,wtp2-r1,panel_reg_cluster,40000,400000,.478,.467,.487
parent,worktree,wtp2-r1,rcs_reg,40000,400000,1.346,1.332,1.35
parent,worktree,wtp2-r1,unbal_reg_none,40000,400000,.409,.405,.41
parent,worktree,wtp2-r1,panel_reg_wboot,40000,400000,.5329999999999999,.5329999999999999,.539
parent,worktree,wtp2b-r1,panel_reg_analytic,40000,400000,.419,.413,.427
parent,worktree,wtp2b-r1,panel_dr_cov,40000,400000,.8240000000000001,.8200000000000001,.829
parent,worktree,wtp2b-r1,panel_reg_cluster,40000,400000,.4699999999999999,.464,.471
parent,worktree,wtp2b-r1,rcs_reg,40000,400000,1.345,1.328,1.362
parent,worktree,wtp2b-r1,unbal_reg_none,40000,400000,.414,.413,.418
parent,worktree,wtp2b-r1,panel_reg_wboot,40000,400000,.545,.5429999999999999,.5509999999999999
head,worktree,wthead-r2,panel_reg_analytic,40000,400000,.416,.415,.419
head,worktree,wthead-r2,panel_dr_cov,40000,400000,.8370000000000001,.83,.843
head,worktree,wthead-r2,panel_reg_cluster,40000,400000,.472,.467,.476
head,worktree,wthead-r2,rcs_reg,40000,400000,1.345,1.344,1.36
head,worktree,wthead-r2,unbal_reg_none,40000,400000,.418,.409,.424
head,worktree,wthead-r2,panel_reg_wboot,40000,400000,.5479999999999999,.5449999999999999,.5570000000000001
head,worktree,wthead2-r2,panel_reg_analytic,40000,400000,.416,.413,.426
head,worktree,wthead2-r2,panel_dr_cov,40000,400000,.8329999999999999,.825,.838
head,worktree,wthead2-r2,panel_reg_cluster,40000,400000,.478,.473,.479
head,worktree,wthead2-r2,rcs_reg,40000,400000,1.344,1.333,1.346
head,worktree,wthead2-r2,unbal_reg_none,40000,400000,.412,.41,.412
head,worktree,wthead2-r2,panel_reg_wboot,40000,400000,.547,.5449999999999999,.547
parent,worktree,wtp2-r2,panel_reg_analytic,40000,400000,.414,.413,.414
parent,worktree,wtp2-r2,panel_dr_cov,40000,400000,.821,.819,.821
parent,worktree,wtp2-r2,panel_reg_cluster,40000,400000,.4689999999999999,.464,.472
parent,worktree,wtp2-r2,rcs_reg,40000,400000,1.347,1.335,1.362
parent,worktree,wtp2-r2,unbal_reg_none,40000,400000,.413,.406,.418
parent,worktree,wtp2-r2,panel_reg_wboot,40000,400000,.542,.54,.547
