design,campaign,tree,cell,seconds
phase-400k,xprof-r1,f1-repaired,wall,1.349
phase-400k,xprof-r1,f1-repaired,ado_prescan,.119
phase-400k,xprof-r1,f1-repaired,ado_engine_call,1.09
phase-400k,xprof-r1,f1-repaired,p_setup,.367
phase-400k,xprof-r1,f1-repaired,p_buckets,.212
phase-400k,xprof-r1,f1-repaired,p_fit,.2280000000000001
phase-400k,xprof-r1,f1-repaired,p_ifasm,.0910000000000001
phase-400k,xprof-r1,f1-repaired,p_store,.003
phase-400k,xprof-r1,f1-repaired,p_cluster,0
phase-400k,xprof-r1,f1-repaired,p_boot,0
phase-400k,xprof-r1,f1-repaired,p_agg,0
phase-400k,xprof-r1,f1-repaired,x_driver,1.012
phase-400k,xprof-r1,f1-repaired,x_settle,.126
phase-400k,xprof-r1,f1-repaired,x_layout,.216
phase-400k,xprof-r1,f1-repaired,x_probs_alloc,.025
phase-400k,xprof-r1,f1-repaired,x_buckets_grid,.212
phase-400k,xprof-r1,f1-repaired,x_cell_slice,.005
phase-400k,xprof-r1,f1-repaired,x_cell_rows,.1080000000000001
phase-400k,xprof-r1,f1-repaired,wall,1.352
phase-400k,xprof-r1,f1-repaired,ado_prescan,.122
phase-400k,xprof-r1,f1-repaired,ado_engine_call,1.092
phase-400k,xprof-r1,f1-repaired,p_setup,.349
phase-400k,xprof-r1,f1-repaired,p_buckets,.215
phase-400k,xprof-r1,f1-repaired,p_fit,.2360000000000001
phase-400k,xprof-r1,f1-repaired,p_ifasm,.0940000000000001
phase-400k,xprof-r1,f1-repaired,p_store,.003
phase-400k,xprof-r1,f1-repaired,p_cluster,0
phase-400k,xprof-r1,f1-repaired,p_boot,0
phase-400k,xprof-r1,f1-repaired,p_agg,0
phase-400k,xprof-r1,f1-repaired,x_driver,1.018
phase-400k,xprof-r1,f1-repaired,x_settle,.125
phase-400k,xprof-r1,f1-repaired,x_layout,.2
phase-400k,xprof-r1,f1-repaired,x_probs_alloc,.024
phase-400k,xprof-r1,f1-repaired,x_buckets_grid,.216
phase-400k,xprof-r1,f1-repaired,x_cell_slice,.01
phase-400k,xprof-r1,f1-repaired,x_cell_rows,.1080000000000001
phase-400k,xprof-r1,f1-repaired,wall,1.354
phase-400k,xprof-r1,f1-repaired,ado_prescan,.121
phase-400k,xprof-r1,f1-repaired,ado_engine_call,1.093
phase-400k,xprof-r1,f1-repaired,p_setup,.35
phase-400k,xprof-r1,f1-repaired,p_buckets,.218
phase-400k,xprof-r1,f1-repaired,p_fit,.2330000000000002
phase-400k,xprof-r1,f1-repaired,p_ifasm,.0930000000000001
phase-400k,xprof-r1,f1-repaired,p_store,.003
phase-400k,xprof-r1,f1-repaired,p_cluster,0
phase-400k,xprof-r1,f1-repaired,p_boot,0
phase-400k,xprof-r1,f1-repaired,p_agg,0
phase-400k,xprof-r1,f1-repaired,x_driver,1.018
phase-400k,xprof-r1,f1-repaired,x_settle,.125
phase-400k,xprof-r1,f1-repaired,x_layout,.2
phase-400k,xprof-r1,f1-repaired,x_probs_alloc,.025
phase-400k,xprof-r1,f1-repaired,x_buckets_grid,.219
phase-400k,xprof-r1,f1-repaired,x_cell_slice,.007
phase-400k,xprof-r1,f1-repaired,x_cell_rows,.1140000000000001
phase-400k,xprof-r1,f1-repaired,wall,1.359
phase-400k,xprof-r1,f1-repaired,ado_prescan,.121
phase-400k,xprof-r1,f1-repaired,ado_engine_call,1.1
phase-400k,xprof-r1,f1-repaired,p_setup,.35
phase-400k,xprof-r1,f1-repaired,p_buckets,.219
phase-400k,xprof-r1,f1-repaired,p_fit,.2340000000000001
phase-400k,xprof-r1,f1-repaired,p_ifasm,.0970000000000001
phase-400k,xprof-r1,f1-repaired,p_store,.003
phase-400k,xprof-r1,f1-repaired,p_cluster,0
phase-400k,xprof-r1,f1-repaired,p_boot,0
phase-400k,xprof-r1,f1-repaired,p_agg,0
phase-400k,xprof-r1,f1-repaired,x_driver,1.024
phase-400k,xprof-r1,f1-repaired,x_settle,.125
phase-400k,xprof-r1,f1-repaired,x_layout,.2
phase-400k,xprof-r1,f1-repaired,x_probs_alloc,.025
phase-400k,xprof-r1,f1-repaired,x_buckets_grid,.22
phase-400k,xprof-r1,f1-repaired,x_cell_slice,.01
phase-400k,xprof-r1,f1-repaired,x_cell_rows,.1110000000000001
phase-400k,xprof-r1,174d27b,wall,1.331
phase-400k,xprof-r1,174d27b,ado_prescan,.119
phase-400k,xprof-r1,174d27b,ado_engine_call,1.077
phase-400k,xprof-r1,174d27b,p_setup,.345
phase-400k,xprof-r1,174d27b,p_buckets,.21
phase-400k,xprof-r1,174d27b,p_fit,.2320000000000002
phase-400k,xprof-r1,174d27b,p_ifasm,.0940000000000001
phase-400k,xprof-r1,174d27b,p_store,.003
phase-400k,xprof-r1,174d27b,p_cluster,0
phase-400k,xprof-r1,174d27b,p_boot,0
phase-400k,xprof-r1,174d27b,p_agg,0
phase-400k,xprof-r1,174d27b,x_driver,1.068
phase-400k,xprof-r1,174d27b,x_settle,.124
phase-400k,xprof-r1,174d27b,x_layout,.198
phase-400k,xprof-r1,174d27b,x_probs_alloc,.023
phase-400k,xprof-r1,174d27b,x_buckets_grid,.21
phase-400k,xprof-r1,174d27b,x_cell_slice,.01
phase-400k,xprof-r1,174d27b,x_cell_rows,.1080000000000001
phase-400k,xprof-r1,174d27b,wall,1.341
phase-400k,xprof-r1,174d27b,ado_prescan,.122
phase-400k,xprof-r1,174d27b,ado_engine_call,1.081
phase-400k,xprof-r1,174d27b,p_setup,.346
phase-400k,xprof-r1,174d27b,p_buckets,.215
phase-400k,xprof-r1,174d27b,p_fit,.2330000000000002
phase-400k,xprof-r1,174d27b,p_ifasm,.0950000000000001
phase-400k,xprof-r1,174d27b,p_store,.003
phase-400k,xprof-r1,174d27b,p_cluster,0
phase-400k,xprof-r1,174d27b,p_boot,0
phase-400k,xprof-r1,174d27b,p_agg,0
phase-400k,xprof-r1,174d27b,x_driver,1.072
phase-400k,xprof-r1,174d27b,x_settle,.124
phase-400k,xprof-r1,174d27b,x_layout,.2
phase-400k,xprof-r1,174d27b,x_probs_alloc,.022
phase-400k,xprof-r1,174d27b,x_buckets_grid,.215
phase-400k,xprof-r1,174d27b,x_cell_slice,.008
phase-400k,xprof-r1,174d27b,x_cell_rows,.1050000000000001
phase-400k,xprof-r1,174d27b,wall,1.312
phase-400k,xprof-r1,174d27b,ado_prescan,.12
phase-400k,xprof-r1,174d27b,ado_engine_call,1.052
phase-400k,xprof-r1,174d27b,p_setup,.347
phase-400k,xprof-r1,174d27b,p_buckets,.213
phase-400k,xprof-r1,174d27b,p_fit,.2320000000000002
phase-400k,xprof-r1,174d27b,p_ifasm,.082
phase-400k,xprof-r1,174d27b,p_store,.003
phase-400k,xprof-r1,174d27b,p_cluster,0
phase-400k,xprof-r1,174d27b,p_boot,0
phase-400k,xprof-r1,174d27b,p_agg,0
phase-400k,xprof-r1,174d27b,x_driver,1.042
phase-400k,xprof-r1,174d27b,x_settle,.124
phase-400k,xprof-r1,174d27b,x_layout,.201
phase-400k,xprof-r1,174d27b,x_probs_alloc,.022
phase-400k,xprof-r1,174d27b,x_buckets_grid,.213
phase-400k,xprof-r1,174d27b,x_cell_slice,.009
phase-400k,xprof-r1,174d27b,x_cell_rows,.0900000000000001
phase-400k,xprof-r1,174d27b,wall,1.315
phase-400k,xprof-r1,174d27b,ado_prescan,.12
phase-400k,xprof-r1,174d27b,ado_engine_call,1.063
phase-400k,xprof-r1,174d27b,p_setup,.348
phase-400k,xprof-r1,174d27b,p_buckets,.213
phase-400k,xprof-r1,174d27b,p_fit,.2280000000000001
phase-400k,xprof-r1,174d27b,p_ifasm,.0910000000000001
phase-400k,xprof-r1,174d27b,p_store,.003
phase-400k,xprof-r1,174d27b,p_cluster,0
phase-400k,xprof-r1,174d27b,p_boot,0
phase-400k,xprof-r1,174d27b,p_agg,0
phase-400k,xprof-r1,174d27b,x_driver,1.053
phase-400k,xprof-r1,174d27b,x_settle,.125
phase-400k,xprof-r1,174d27b,x_layout,.2
phase-400k,xprof-r1,174d27b,x_probs_alloc,.023
phase-400k,xprof-r1,174d27b,x_buckets_grid,.213
phase-400k,xprof-r1,174d27b,x_cell_slice,.009
phase-400k,xprof-r1,174d27b,x_cell_rows,.0960000000000001
phase-400k,xprof-r2,174d27b,wall,1.323
phase-400k,xprof-r2,174d27b,ado_prescan,.12
phase-400k,xprof-r2,174d27b,ado_engine_call,1.061
phase-400k,xprof-r2,174d27b,p_setup,.345
phase-400k,xprof-r2,174d27b,p_buckets,.21
phase-400k,xprof-r2,174d27b,p_fit,.2270000000000001
phase-400k,xprof-r2,174d27b,p_ifasm,.0880000000000001
phase-400k,xprof-r2,174d27b,p_store,.003
phase-400k,xprof-r2,174d27b,p_cluster,0
phase-400k,xprof-r2,174d27b,p_boot,0
phase-400k,xprof-r2,174d27b,p_agg,0
phase-400k,xprof-r2,174d27b,x_driver,1.051
phase-400k,xprof-r2,174d27b,x_settle,.123
phase-400k,xprof-r2,174d27b,x_layout,.198
phase-400k,xprof-r2,174d27b,x_probs_alloc,.024
phase-400k,xprof-r2,174d27b,x_buckets_grid,.21
phase-400k,xprof-r2,174d27b,x_cell_slice,.008
phase-400k,xprof-r2,174d27b,x_cell_rows,.0990000000000001
phase-400k,xprof-r2,174d27b,wall,1.331
phase-400k,xprof-r2,174d27b,ado_prescan,.123
phase-400k,xprof-r2,174d27b,ado_engine_call,1.074
phase-400k,xprof-r2,174d27b,p_setup,.347
phase-400k,xprof-r2,174d27b,p_buckets,.207
phase-400k,xprof-r2,174d27b,p_fit,.2330000000000001
phase-400k,xprof-r2,174d27b,p_ifasm,.0900000000000001
phase-400k,xprof-r2,174d27b,p_store,.003
phase-400k,xprof-r2,174d27b,p_cluster,0
phase-400k,xprof-r2,174d27b,p_boot,0
phase-400k,xprof-r2,174d27b,p_agg,0
phase-400k,xprof-r2,174d27b,x_driver,1.065
phase-400k,xprof-r2,174d27b,x_settle,.124
phase-400k,xprof-r2,174d27b,x_layout,.201
phase-400k,xprof-r2,174d27b,x_probs_alloc,.022
phase-400k,xprof-r2,174d27b,x_buckets_grid,.207
phase-400k,xprof-r2,174d27b,x_cell_slice,.013
phase-400k,xprof-r2,174d27b,x_cell_rows,.1050000000000001
phase-400k,xprof-r2,174d27b,wall,1.336
phase-400k,xprof-r2,174d27b,ado_prescan,.121
phase-400k,xprof-r2,174d27b,ado_engine_call,1.078
phase-400k,xprof-r2,174d27b,p_setup,.351
phase-400k,xprof-r2,174d27b,p_buckets,.223
phase-400k,xprof-r2,174d27b,p_fit,.2230000000000001
phase-400k,xprof-r2,174d27b,p_ifasm,.0880000000000001
phase-400k,xprof-r2,174d27b,p_store,.003
phase-400k,xprof-r2,174d27b,p_cluster,0
phase-400k,xprof-r2,174d27b,p_boot,0
phase-400k,xprof-r2,174d27b,p_agg,0
phase-400k,xprof-r2,174d27b,x_driver,1.068
phase-400k,xprof-r2,174d27b,x_settle,.125
phase-400k,xprof-r2,174d27b,x_layout,.202
phase-400k,xprof-r2,174d27b,x_probs_alloc,.024
phase-400k,xprof-r2,174d27b,x_buckets_grid,.223
phase-400k,xprof-r2,174d27b,x_cell_slice,.009
phase-400k,xprof-r2,174d27b,x_cell_rows,.1060000000000001
phase-400k,xprof-r2,174d27b,wall,1.328
phase-400k,xprof-r2,174d27b,ado_prescan,.119
phase-400k,xprof-r2,174d27b,ado_engine_call,1.065
phase-400k,xprof-r2,174d27b,p_setup,.346
phase-400k,xprof-r2,174d27b,p_buckets,.215
phase-400k,xprof-r2,174d27b,p_fit,.2260000000000001
phase-400k,xprof-r2,174d27b,p_ifasm,.0900000000000001
phase-400k,xprof-r2,174d27b,p_store,.003
