design,campaign,tree,cell,seconds
cell-design,per-commit,base,fast_reg,.595
cell-design,per-commit,base,panel_reg,.6619999999999999
cell-design,per-commit,base,panel_dr_cov,1.71
cell-design,per-commit,base,unbal_reg,1.743
cell-design,per-commit,base,rcs_reg,1.259
cell-design,per-commit,174d27b,fast_reg,.581
cell-design,per-commit,174d27b,panel_reg,.652
cell-design,per-commit,174d27b,panel_dr_cov,1.709
cell-design,per-commit,174d27b,unbal_reg,1.7
cell-design,per-commit,174d27b,rcs_reg,1.227
cell-design,per-commit,5280996,fast_reg,.586
cell-design,per-commit,5280996,panel_reg,.6579999999999999
cell-design,per-commit,5280996,panel_dr_cov,1.74
cell-design,per-commit,5280996,unbal_reg,1.712
cell-design,per-commit,5280996,rcs_reg,1.227
cell-design,per-commit,15ad1ca,fast_reg,.583
cell-design,per-commit,15ad1ca,panel_reg,.652
cell-design,per-commit,15ad1ca,panel_dr_cov,1.71
cell-design,per-commit,15ad1ca,unbal_reg,1.701
cell-design,per-commit,15ad1ca,rcs_reg,1.228
cell-design,per-commit,33c41a3,fast_reg,.596
cell-design,per-commit,33c41a3,panel_reg,.661
cell-design,per-commit,33c41a3,panel_dr_cov,1.725
cell-design,per-commit,33c41a3,unbal_reg,1.718
cell-design,per-commit,33c41a3,rcs_reg,1.232
cell-design,per-commit,fb7ca7b,fast_reg,.58
cell-design,per-commit,fb7ca7b,panel_reg,.649
cell-design,per-commit,fb7ca7b,panel_dr_cov,1.712
cell-design,per-commit,fb7ca7b,unbal_reg,1.699
cell-design,per-commit,fb7ca7b,rcs_reg,1.23
cell-design,per-commit,f3d6f15,fast_reg,.581
cell-design,per-commit,f3d6f15,panel_reg,.65
cell-design,per-commit,f3d6f15,panel_dr_cov,1.705
cell-design,per-commit,f3d6f15,unbal_reg,1.699
cell-design,per-commit,f3d6f15,rcs_reg,1.227
cell-design,per-commit,c72d210,fast_reg,.5840000000000001
cell-design,per-commit,c72d210,panel_reg,.655
cell-design,per-commit,c72d210,panel_dr_cov,1.712
cell-design,per-commit,c72d210,unbal_reg,1.706
cell-design,per-commit,c72d210,rcs_reg,1.227
cell-design,per-commit,a9359ce,fast_reg,.583
cell-design,per-commit,a9359ce,panel_reg,.657
cell-design,per-commit,a9359ce,panel_dr_cov,1.733
cell-design,per-commit,a9359ce,unbal_reg,1.707
cell-design,per-commit,a9359ce,rcs_reg,1.248
cell-design,per-commit,a9359ce,fast_reg,.591
cell-design,per-commit,a9359ce,panel_reg,.6679999999999999
cell-design,per-commit,a9359ce,panel_dr_cov,1.725
cell-design,per-commit,a9359ce,unbal_reg,1.721
cell-design,per-commit,a9359ce,rcs_reg,1.254
cell-design,per-commit,c72d210,fast_reg,.583
cell-design,per-commit,c72d210,panel_reg,.656
cell-design,per-commit,c72d210,panel_dr_cov,1.714
cell-design,per-commit,c72d210,unbal_reg,1.702
cell-design,per-commit,c72d210,rcs_reg,1.233
cell-design,per-commit,f3d6f15,fast_reg,.584
cell-design,per-commit,f3d6f15,panel_reg,.658
cell-design,per-commit,f3d6f15,panel_dr_cov,1.725
cell-design,per-commit,f3d6f15,unbal_reg,1.716
cell-design,per-commit,f3d6f15,rcs_reg,1.248
cell-design,per-commit,fb7ca7b,fast_reg,.5860000000000001
cell-design,per-commit,fb7ca7b,panel_reg,.652
cell-design,per-commit,fb7ca7b,panel_dr_cov,1.713
cell-design,per-commit,fb7ca7b,unbal_reg,1.705
cell-design,per-commit,fb7ca7b,rcs_reg,1.228
cell-design,per-commit,33c41a3,fast_reg,.582
cell-design,per-commit,33c41a3,panel_reg,.653
cell-design,per-commit,33c41a3,panel_dr_cov,1.711
cell-design,per-commit,33c41a3,unbal_reg,1.708
cell-design,per-commit,33c41a3,rcs_reg,1.244
cell-design,per-commit,15ad1ca,fast_reg,.582
cell-design,per-commit,15ad1ca,panel_reg,.649
cell-design,per-commit,15ad1ca,panel_dr_cov,1.705
cell-design,per-commit,15ad1ca,unbal_reg,1.704
cell-design,per-commit,15ad1ca,rcs_reg,1.224
cell-design,per-commit,5280996,fast_reg,.5760000000000001
cell-design,per-commit,5280996,panel_reg,.6879999999999999
cell-design,per-commit,5280996,panel_dr_cov,1.724
cell-design,per-commit,5280996,unbal_reg,1.712
cell-design,per-commit,5280996,rcs_reg,1.226
cell-design,per-commit,174d27b,fast_reg,.5860000000000001
cell-design,per-commit,174d27b,panel_reg,.658
cell-design,per-commit,174d27b,panel_dr_cov,1.718
cell-design,per-commit,174d27b,unbal_reg,1.721
cell-design,per-commit,174d27b,rcs_reg,1.237
cell-design,per-commit,base,fast_reg,.579
cell-design,per-commit,base,panel_reg,.649
cell-design,per-commit,base,panel_dr_cov,1.686
cell-design,per-commit,base,unbal_reg,1.709
cell-design,per-commit,base,rcs_reg,1.23
cell-design,per-commit,base,fast_reg,.575
cell-design,per-commit,base,panel_reg,.645
cell-design,per-commit,base,panel_dr_cov,1.686
cell-design,per-commit,base,unbal_reg,1.695
cell-design,per-commit,base,rcs_reg,1.227
cell-design,per-commit,174d27b,fast_reg,.5820000000000001
cell-design,per-commit,174d27b,panel_reg,.657
cell-design,per-commit,174d27b,panel_dr_cov,1.722
cell-design,per-commit,174d27b,unbal_reg,1.709
cell-design,per-commit,174d27b,rcs_reg,1.228
cell-design,per-commit,5280996,fast_reg,.581
cell-design,per-commit,5280996,panel_reg,.651
cell-design,per-commit,5280996,panel_dr_cov,1.708
cell-design,per-commit,5280996,unbal_reg,1.703
cell-design,per-commit,5280996,rcs_reg,1.264
cell-design,per-commit,15ad1ca,fast_reg,.581
cell-design,per-commit,15ad1ca,panel_reg,.649
cell-design,per-commit,15ad1ca,panel_dr_cov,1.709
cell-design,per-commit,15ad1ca,unbal_reg,1.698
cell-design,per-commit,15ad1ca,rcs_reg,1.222
cell-design,per-commit,33c41a3,fast_reg,.591
cell-design,per-commit,33c41a3,panel_reg,.6599999999999999
cell-design,per-commit,33c41a3,panel_dr_cov,1.713
cell-design,per-commit,33c41a3,unbal_reg,1.711
cell-design,per-commit,33c41a3,rcs_reg,1.236
cell-design,per-commit,fb7ca7b,fast_reg,.594
cell-design,per-commit,fb7ca7b,panel_reg,.6599999999999999
cell-design,per-commit,fb7ca7b,panel_dr_cov,1.718
