design,campaign,tree,cell,seconds
scale-400k,r1,s2,panel_reg_analytic,.419
scale-400k,r1,s2,panel_dr_cov,.833
scale-400k,r1,s2,panel_reg_cluster,.4709999999999999
scale-400k,r1,s2,rcs_reg,1.207
scale-400k,r1,s2,unbal_reg_none,.416
scale-400k,r1,s2,panel_reg_wboot,.5400000000000001
cell-design,r1,s2,fast,.607
cell-design,r1,s2,preg,1.033
cell-design,r1,s2,pdr,1.926
cell-design,r1,s2,unbal,.994
cell-design,r1,s2,rcs,1.877
inproc-50,r1,s2,reg,.5549999999999999
inproc-50,r1,s2,dr,1.708
scale-400k,r1,base,panel_reg_analytic,.42
scale-400k,r1,base,panel_dr_cov,.831
scale-400k,r1,base,panel_reg_cluster,.472
scale-400k,r1,base,rcs_reg,1.356
scale-400k,r1,base,unbal_reg_none,.426
scale-400k,r1,base,panel_reg_wboot,.556
cell-design,r1,base,fast,.611
cell-design,r1,base,preg,1.062
cell-design,r1,base,pdr,1.908
cell-design,r1,base,unbal,1.01
cell-design,r1,base,rcs,1.927
inproc-50,r1,base,reg,.55
inproc-50,r1,base,dr,1.71
scale-400k,r1,head,panel_reg_analytic,.42
scale-400k,r1,head,panel_dr_cov,.831
scale-400k,r1,head,panel_reg_cluster,.472
scale-400k,r1,head,rcs_reg,1.211
scale-400k,r1,head,unbal_reg_none,.413
scale-400k,r1,head,panel_reg_wboot,.541
cell-design,r1,head,fast,.618
cell-design,r1,head,preg,1.04
cell-design,r1,head,pdr,1.924
cell-design,r1,head,unbal,.995
cell-design,r1,head,rcs,1.895
inproc-50,r1,head,reg,.55
inproc-50,r1,head,dr,1.72
scale-400k,r2,s2,panel_reg_analytic,.42
scale-400k,r2,s2,panel_dr_cov,.8290000000000001
scale-400k,r2,s2,panel_reg_cluster,.467
scale-400k,r2,s2,rcs_reg,1.194
scale-400k,r2,s2,unbal_reg_none,.41
scale-400k,r2,s2,panel_reg_wboot,.5389999999999999
cell-design,r2,s2,fast,.612
cell-design,r2,s2,preg,1.04
cell-design,r2,s2,pdr,1.928
cell-design,r2,s2,unbal,1.001
cell-design,r2,s2,rcs,1.888
inproc-50,r2,s2,reg,.549
inproc-50,r2,s2,dr,1.713
scale-400k,r2,head,panel_reg_analytic,.425
scale-400k,r2,head,panel_dr_cov,.825
scale-400k,r2,head,panel_reg_cluster,.475
scale-400k,r2,head,rcs_reg,1.219
scale-400k,r2,head,unbal_reg_none,.425
scale-400k,r2,head,panel_reg_wboot,.5469999999999999
cell-design,r2,head,fast,.626
cell-design,r2,head,preg,1.053
cell-design,r2,head,pdr,1.934
cell-design,r2,head,unbal,1.003
cell-design,r2,head,rcs,1.881
inproc-50,r2,head,reg,.556
inproc-50,r2,head,dr,1.708
scale-400k,r2,base,panel_reg_analytic,.422
scale-400k,r2,base,panel_dr_cov,.828
scale-400k,r2,base,panel_reg_cluster,.4670000000000001
scale-400k,r2,base,rcs_reg,1.349
scale-400k,r2,base,unbal_reg_none,.417
scale-400k,r2,base,panel_reg_wboot,.547
cell-design,r2,base,fast,.615
cell-design,r2,base,preg,1.046
cell-design,r2,base,pdr,1.914
cell-design,r2,base,unbal,.996
cell-design,r2,base,rcs,1.92
inproc-50,r2,base,reg,.548
inproc-50,r2,base,dr,1.689
scale-400k,r3,head,panel_reg_analytic,.421
scale-400k,r3,head,panel_dr_cov,.8220000000000001
scale-400k,r3,head,panel_reg_cluster,.47
scale-400k,r3,head,rcs_reg,1.201
scale-400k,r3,head,unbal_reg_none,.42
scale-400k,r3,head,panel_reg_wboot,.544
cell-design,r3,head,fast,.612
cell-design,r3,head,preg,1.035
cell-design,r3,head,pdr,1.93
cell-design,r3,head,unbal,1.002
cell-design,r3,head,rcs,1.882
inproc-50,r3,head,reg,.5509999999999999
inproc-50,r3,head,dr,1.702
scale-400k,r3,s2,panel_reg_analytic,.416
scale-400k,r3,s2,panel_dr_cov,.8299999999999998
scale-400k,r3,s2,panel_reg_cluster,.466
scale-400k,r3,s2,rcs_reg,1.215
scale-400k,r3,s2,unbal_reg_none,.419
scale-400k,r3,s2,panel_reg_wboot,.554
cell-design,r3,s2,fast,.619
cell-design,r3,s2,preg,1.042
cell-design,r3,s2,pdr,1.935
cell-design,r3,s2,unbal,.988
cell-design,r3,s2,rcs,1.888
inproc-50,r3,s2,reg,.553
inproc-50,r3,s2,dr,1.713
scale-400k,r3,base,panel_reg_analytic,.42
scale-400k,r3,base,panel_dr_cov,.826
scale-400k,r3,base,panel_reg_cluster,.469
scale-400k,r3,base,rcs_reg,1.349
scale-400k,r3,base,unbal_reg_none,.411
