arm,round,instrument,cell,seconds
head,1,I1,panel_reg_analytic,.426
head,1,I1,panel_dr_cov,.8400000000000001
head,1,I1,panel_reg_cluster,.4699999999999999
head,1,I1,rcs_reg,1.224
head,1,I1,unbal_reg_none,.411
head,1,I1,panel_reg_wboot,.5389999999999999
head,1,I2,fast,1.505
head,1,I2,panelreg,1.882
head,1,I2,paneldr,2.699
head,1,I2,unbal,1.879
head,1,I2,rcs,3.397
head,1,I3,reg,1.788
head,1,I3,dr,2.672
s3,1,I1,panel_reg_analytic,.423
s3,1,I1,panel_dr_cov,.831
s3,1,I1,panel_reg_cluster,.471
s3,1,I1,rcs_reg,1.211
s3,1,I1,unbal_reg_none,.415
s3,1,I1,panel_reg_wboot,.544
s3,1,I2,fast,1.495
s3,1,I2,panelreg,1.864
s3,1,I2,paneldr,2.677
s3,1,I2,unbal,1.861
s3,1,I2,rcs,3.404
s3,1,I3,reg,1.79
s3,1,I3,dr,2.628
base,1,I1,panel_reg_analytic,.425
base,1,I1,panel_dr_cov,.836
base,1,I1,panel_reg_cluster,.472
base,1,I1,rcs_reg,1.372
base,1,I1,unbal_reg_none,.421
base,1,I1,panel_reg_wboot,.552
base,1,I2,fast,1.506
base,1,I2,panelreg,1.879
base,1,I2,paneldr,2.675
base,1,I2,unbal,1.885
base,1,I2,rcs,3.437
base,1,I3,reg,1.778
base,1,I3,dr,2.634
head,2,I1,panel_reg_analytic,.428
head,2,I1,panel_dr_cov,.8430000000000001
head,2,I1,panel_reg_cluster,.491
head,2,I1,rcs_reg,1.245
head,2,I1,unbal_reg_none,.424
head,2,I1,panel_reg_wboot,.5589999999999999
head,2,I2,fast,1.498
head,2,I2,panelreg,1.867
head,2,I2,paneldr,2.696
head,2,I2,unbal,1.873
head,2,I2,rcs,3.418
head,2,I3,reg,1.784
head,2,I3,dr,2.635
base,2,I1,panel_reg_analytic,.419
base,2,I1,panel_dr_cov,.829
base,2,I1,panel_reg_cluster,.467
base,2,I1,rcs_reg,1.355
base,2,I1,unbal_reg_none,.411
base,2,I1,panel_reg_wboot,.5409999999999999
base,2,I2,fast,1.497
base,2,I2,panelreg,1.87
base,2,I2,paneldr,2.666
base,2,I2,unbal,1.874
base,2,I2,rcs,3.426
base,2,I3,reg,1.773
base,2,I3,dr,2.62
s3,2,I1,panel_reg_analytic,.418
s3,2,I1,panel_dr_cov,.8220000000000001
s3,2,I1,panel_reg_cluster,.468
s3,2,I1,rcs_reg,1.206
s3,2,I1,unbal_reg_none,.416
s3,2,I1,panel_reg_wboot,.548
s3,2,I2,fast,1.497
s3,2,I2,panelreg,1.865
s3,2,I2,paneldr,2.683
s3,2,I2,unbal,1.862
s3,2,I2,rcs,3.396
s3,2,I3,reg,1.788
s3,2,I3,dr,2.636
base,3,I1,panel_reg_analytic,.419
base,3,I1,panel_dr_cov,.8300000000000001
base,3,I1,panel_reg_cluster,.4670000000000001
base,3,I1,rcs_reg,1.36
base,3,I1,unbal_reg_none,.415
base,3,I1,panel_reg_wboot,.544
base,3,I2,fast,1.501
base,3,I2,panelreg,1.875
base,3,I2,paneldr,2.672
base,3,I2,unbal,1.879
base,3,I2,rcs,3.427
base,3,I3,reg,1.786
base,3,I3,dr,2.629
head,3,I1,panel_reg_analytic,.418
head,3,I1,panel_dr_cov,.8260000000000002
head,3,I1,panel_reg_cluster,.4689999999999999
head,3,I1,rcs_reg,1.233
head,3,I1,unbal_reg_none,.411
head,3,I1,panel_reg_wboot,.5490000000000002
head,3,I2,fast,1.508
head,3,I2,panelreg,1.869
head,3,I2,paneldr,2.685
head,3,I2,unbal,1.866
head,3,I2,rcs,3.378
head,3,I3,reg,1.776
head,3,I3,dr,2.61
s3,3,I1,panel_reg_analytic,.422
s3,3,I1,panel_dr_cov,.8320000000000001
s3,3,I1,panel_reg_cluster,.469
s3,3,I1,rcs_reg,1.205
s3,3,I1,unbal_reg_none,.419
s3,3,I1,panel_reg_wboot,.5479999999999999
s3,3,I2,fast,1.508
s3,3,I2,panelreg,1.878
s3,3,I2,paneldr,2.699
s3,3,I2,unbal,1.883
s3,3,I2,rcs,3.412
s3,3,I3,reg,1.794
s3,3,I3,dr,2.635
base,4,I1,panel_reg_analytic,.424
base,4,I1,panel_dr_cov,.833
base,4,I1,panel_reg_cluster,.474
base,4,I1,rcs_reg,1.364
base,4,I1,unbal_reg_none,.417
base,4,I1,panel_reg_wboot,.5620000000000001
base,4,I2,fast,1.503
base,4,I2,panelreg,1.873
base,4,I2,paneldr,2.67
base,4,I2,unbal,1.869
base,4,I2,rcs,3.421
base,4,I3,reg,1.775
base,4,I3,dr,2.611
s3,4,I1,panel_reg_analytic,.431
s3,4,I1,panel_dr_cov,.834
s3,4,I1,panel_reg_cluster,.472
s3,4,I1,rcs_reg,1.215
s3,4,I1,unbal_reg_none,.417
s3,4,I1,panel_reg_wboot,.5440000000000002
s3,4,I2,fast,1.501
s3,4,I2,panelreg,1.87
s3,4,I2,paneldr,2.693
s3,4,I2,unbal,1.874
s3,4,I2,rcs,3.435
s3,4,I3,reg,1.785
s3,4,I3,dr,2.63
head,4,I1,panel_reg_analytic,.419
head,4,I1,panel_dr_cov,.827
head,4,I1,panel_reg_cluster,.464
head,4,I1,rcs_reg,1.211
head,4,I1,unbal_reg_none,.415
head,4,I1,panel_reg_wboot,.542
head,4,I2,fast,1.489
head,4,I2,panelreg,1.873
head,4,I2,paneldr,2.688
head,4,I2,unbal,1.869
head,4,I2,rcs,3.39
head,4,I3,reg,1.78
head,4,I3,dr,2.639
s3,5,I1,panel_reg_analytic,.421
s3,5,I1,panel_dr_cov,.828
s3,5,I1,panel_reg_cluster,.474
s3,5,I1,rcs_reg,1.212
s3,5,I1,unbal_reg_none,.412
s3,5,I1,panel_reg_wboot,.546
s3,5,I2,fast,1.499
s3,5,I2,panelreg,1.875
s3,5,I2,paneldr,2.694
s3,5,I2,unbal,1.876
s3,5,I2,rcs,3.383
s3,5,I3,reg,1.786
s3,5,I3,dr,2.639
base,5,I1,panel_reg_analytic,.418
base,5,I1,panel_dr_cov,.8269999999999998
base,5,I1,panel_reg_cluster,.463
base,5,I1,rcs_reg,1.345
base,5,I1,unbal_reg_none,.412
base,5,I1,panel_reg_wboot,.5429999999999999
base,5,I2,fast,1.517
base,5,I2,panelreg,1.887
base,5,I2,paneldr,2.685
base,5,I2,unbal,1.885
base,5,I2,rcs,3.442
base,5,I3,reg,1.817
base,5,I3,dr,2.625
head,5,I1,panel_reg_analytic,.421
head,5,I1,panel_dr_cov,.8240000000000001
head,5,I1,panel_reg_cluster,.468
head,5,I1,rcs_reg,1.211
head,5,I1,unbal_reg_none,.416
head,5,I1,panel_reg_wboot,.5509999999999999
head,5,I2,fast,1.499
head,5,I2,panelreg,1.871
head,5,I2,paneldr,2.704
head,5,I2,unbal,1.877
head,5,I2,rcs,3.565
head,5,I3,reg,1.794
head,5,I3,dr,2.633
s3,6,I1,panel_reg_analytic,.418
s3,6,I1,panel_dr_cov,.8280000000000001
s3,6,I1,panel_reg_cluster,.4709999999999999
s3,6,I1,rcs_reg,1.198
s3,6,I1,unbal_reg_none,.418
s3,6,I1,panel_reg_wboot,.544
s3,6,I2,fast,1.509
s3,6,I2,panelreg,1.88
s3,6,I2,paneldr,2.69
s3,6,I2,unbal,1.872
s3,6,I2,rcs,3.392
s3,6,I3,reg,1.776
s3,6,I3,dr,2.631
head,6,I1,panel_reg_analytic,.419
head,6,I1,panel_dr_cov,.831
head,6,I1,panel_reg_cluster,.471
head,6,I1,rcs_reg,1.226
head,6,I1,unbal_reg_none,.418
head,6,I1,panel_reg_wboot,.544
head,6,I2,fast,1.504
head,6,I2,panelreg,1.873
head,6,I2,paneldr,2.687
head,6,I2,unbal,1.87
head,6,I2,rcs,3.4
head,6,I3,reg,1.796
head,6,I3,dr,2.644
base,6,I1,panel_reg_analytic,.418
base,6,I1,panel_dr_cov,.838
base,6,I1,panel_reg_cluster,.472
base,6,I1,rcs_reg,1.34
base,6,I1,unbal_reg_none,.41
base,6,I1,panel_reg_wboot,.5449999999999998
base,6,I2,fast,1.501
base,6,I2,panelreg,1.873
base,6,I2,paneldr,2.69
base,6,I2,unbal,1.866
base,6,I2,rcs,3.421
base,6,I3,reg,1.763
base,6,I3,dr,2.609
head,7,I1,panel_reg_analytic,.42
head,7,I1,panel_dr_cov,.8329999999999999
head,7,I1,panel_reg_cluster,.473
head,7,I1,rcs_reg,1.208
head,7,I1,unbal_reg_none,.42
head,7,I1,panel_reg_wboot,.5469999999999999
head,7,I2,fast,1.513
head,7,I2,panelreg,1.871
head,7,I2,paneldr,2.693
head,7,I2,unbal,1.901
head,7,I2,rcs,3.389
head,7,I3,reg,1.771
head,7,I3,dr,2.63
s3,7,I1,panel_reg_analytic,.421
s3,7,I1,panel_dr_cov,.8380000000000001
