arm,round,cell,nunits,nobs,seconds,min,max
base,1,panel_reg_analytic,5000,50000,.069,.068,.07
base,1,panel_dr_cov,5000,50000,.172,.172,.172
base,1,panel_reg_cluster,5000,50000,.075,.075,.076
base,1,rcs_reg,5000,50000,.222,.219,.222
base,1,unbal_reg_none,5000,50000,.069,.068,.069
base,1,panel_reg_wboot,5000,50000,.092,.092,.095
base,1,agg_dynamic,5000,50000,.0174,.0171,.0177
base,1,agg_group,5000,50000,.0058,.0058,.0058
base,1,agg_storeall,5000,50000,.1008,.1008,.101
base,1,panel_reg_analytic,40000,400000,.42,.419,.431
base,1,panel_dr_cov,40000,400000,.8280000000000001,.8220000000000001,.833
base,1,panel_reg_cluster,40000,400000,.468,.458,.476
base,1,rcs_reg,40000,400000,1.36,1.329,1.525
base,1,unbal_reg_none,40000,400000,.41,.41,.412
base,1,panel_reg_wboot,40000,400000,.5460000000000002,.542,.549
base,1,agg_dynamic,40000,400000,.0788,.0781,.0794
base,1,agg_group,40000,400000,.0226,.0224,.0227
base,2,panel_reg_analytic,5000,50000,.069,.069,.069
base,2,panel_dr_cov,5000,50000,.173,.171,.174
base,2,panel_reg_cluster,5000,50000,.075,.075,.076
base,2,rcs_reg,5000,50000,.221,.22,.221
base,2,unbal_reg_none,5000,50000,.069,.067,.069
base,2,panel_reg_wboot,5000,50000,.092,.091,.093
base,2,agg_dynamic,5000,50000,.0168,.0167,.0171
base,2,agg_group,5000,50000,.0058,.0057,.0058
base,2,agg_storeall,5000,50000,.102,.101,.102
base,2,panel_reg_analytic,40000,400000,.424,.42,.426
base,2,panel_dr_cov,40000,400000,.8290000000000001,.826,.832
base,2,panel_reg_cluster,40000,400000,.47,.467,.471
base,2,rcs_reg,40000,400000,1.352,1.341,1.369
base,2,unbal_reg_none,40000,400000,.419,.418,.423
base,2,panel_reg_wboot,40000,400000,.547,.545,.556
base,2,agg_dynamic,40000,400000,.0817,.0815,.0827
base,2,agg_group,40000,400000,.0239,.0235,.0242
base,3,panel_reg_analytic,5000,50000,.069,.068,.069
base,3,panel_dr_cov,5000,50000,.172,.172,.174
base,3,panel_reg_cluster,5000,50000,.077,.076,.08
base,3,rcs_reg,5000,50000,.21,.209,.214
base,3,unbal_reg_none,5000,50000,.069,.063,.069
base,3,panel_reg_wboot,5000,50000,.092,.091,.092
base,3,agg_dynamic,5000,50000,.0166,.0166,.0167
base,3,agg_group,5000,50000,.0057,.0056,.0057
base,3,agg_storeall,5000,50000,.1,.1,.101
base,3,panel_reg_analytic,40000,400000,.426,.419,.427
base,3,panel_dr_cov,40000,400000,.8220000000000002,.8179999999999999,.842
base,3,panel_reg_cluster,40000,400000,.477,.47,.486
base,3,rcs_reg,40000,400000,1.375,1.357,1.382
base,3,unbal_reg_none,40000,400000,.413,.407,.416
base,3,panel_reg_wboot,40000,400000,.539,.535,.54
base,3,agg_dynamic,40000,400000,.0779,.0775,.0788
base,3,agg_group,40000,400000,.0224,.022,.0229
head,1,panel_reg_analytic,5000,50000,.068,.068,.07
head,1,panel_dr_cov,5000,50000,.172,.172,.173
head,1,panel_reg_cluster,5000,50000,.075,.075,.076
head,1,rcs_reg,5000,50000,.203,.202,.205
head,1,unbal_reg_none,5000,50000,.07,.069,.071
head,1,panel_reg_wboot,5000,50000,.095,.093,.096
head,1,agg_dynamic,5000,50000,.0173,.017,.0174
head,1,agg_group,5000,50000,.006,.0059,.006
head,1,agg_storeall,5000,50000,.101,.1004,.1016
head,1,panel_reg_analytic,40000,400000,.424,.423,.432
head,1,panel_dr_cov,40000,400000,.829,.8280000000000001,.83
head,1,panel_reg_cluster,40000,400000,.475,.474,.476
head,1,rcs_reg,40000,400000,1.245,1.22,1.258
head,1,unbal_reg_none,40000,400000,.413,.411,.415
head,1,panel_reg_wboot,40000,400000,.545,.543,.552
head,1,agg_dynamic,40000,400000,.0777,.0757,.0779
head,1,agg_group,40000,400000,.0223,.022,.0227
head,2,panel_reg_analytic,5000,50000,.069,.068,.07
head,2,panel_dr_cov,5000,50000,.173,.172,.175
head,2,panel_reg_cluster,5000,50000,.075,.074,.075
head,2,rcs_reg,5000,50000,.204,.202,.206
head,2,unbal_reg_none,5000,50000,.069,.069,.07
head,2,panel_reg_wboot,5000,50000,.094,.094,.095
head,2,agg_dynamic,5000,50000,.0166,.0166,.017
head,2,agg_group,5000,50000,.0056,.0055,.006
head,2,agg_storeall,5000,50000,.1006,.1006,.1012
head,2,panel_reg_analytic,40000,400000,.42,.419,.42
head,2,panel_dr_cov,40000,400000,.834,.825,.835
head,2,panel_reg_cluster,40000,400000,.464,.463,.465
head,2,rcs_reg,40000,400000,1.222,1.22,1.223
head,2,unbal_reg_none,40000,400000,.413,.413,.417
head,2,panel_reg_wboot,40000,400000,.541,.5389999999999999,.548
head,2,agg_dynamic,40000,400000,.0762,.0758,.0781
head,2,agg_group,40000,400000,.0217,.0215,.0218
head,3,panel_reg_analytic,5000,50000,.068,.067,.069
head,3,panel_dr_cov,5000,50000,.172,.171,.179
head,3,panel_reg_cluster,5000,50000,.074,.073,.074
head,3,rcs_reg,5000,50000,.204,.203,.205
head,3,unbal_reg_none,5000,50000,.069,.068,.07
head,3,panel_reg_wboot,5000,50000,.093,.091,.094
head,3,agg_dynamic,5000,50000,.0169,.0166,.0173
head,3,agg_group,5000,50000,.0056,.0055,.0057
head,3,agg_storeall,5000,50000,.1012,.1008,.1018
head,3,panel_reg_analytic,40000,400000,.419,.418,.42
head,3,panel_dr_cov,40000,400000,.8380000000000001,.8280000000000001,.839
head,3,panel_reg_cluster,40000,400000,.471,.471,.477
head,3,rcs_reg,40000,400000,1.221,1.206,1.246
head,3,unbal_reg_none,40000,400000,.418,.414,.418
head,3,panel_reg_wboot,40000,400000,.546,.546,.5609999999999999
head,3,agg_dynamic,40000,400000,.081,.0806,.0818
head,3,agg_group,40000,400000,.0236,.0234,.0244
s4,1,panel_reg_analytic,5000,50000,.069,.069,.07
s4,1,panel_dr_cov,5000,50000,.172,.171,.173
s4,1,panel_reg_cluster,5000,50000,.075,.075,.076
s4,1,rcs_reg,5000,50000,.207,.206,.208
s4,1,unbal_reg_none,5000,50000,.071,.069,.071
s4,1,panel_reg_wboot,5000,50000,.094,.094,.096
s4,1,agg_dynamic,5000,50000,.0172,.0168,.0172
s4,1,agg_group,5000,50000,.0059,.0058,.0059
s4,1,agg_storeall,5000,50000,.1006,.1,.1012
s4,1,panel_reg_analytic,40000,400000,.425,.42,.428
s4,1,panel_dr_cov,40000,400000,.832,.827,.833
s4,1,panel_reg_cluster,40000,400000,.469,.469,.47
s4,1,rcs_reg,40000,400000,1.224,1.215,1.237
s4,1,unbal_reg_none,40000,400000,.411,.405,.411
s4,1,panel_reg_wboot,40000,400000,.5450000000000002,.5369999999999999,.547
s4,1,agg_dynamic,40000,400000,.0795,.0786,.0797
s4,1,agg_group,40000,400000,.0228,.0227,.0235
s4,2,panel_reg_analytic,5000,50000,.069,.069,.069
s4,2,panel_dr_cov,5000,50000,.174,.171,.178
s4,2,panel_reg_cluster,5000,50000,.074,.074,.075
s4,2,rcs_reg,5000,50000,.204,.203,.207
s4,2,unbal_reg_none,5000,50000,.07,.07,.071
s4,2,panel_reg_wboot,5000,50000,.094,.092,.094
s4,2,agg_dynamic,5000,50000,.0173,.0172,.0175
s4,2,agg_group,5000,50000,.0059,.0057,.0059
s4,2,agg_storeall,5000,50000,.1018,.101,.1044
s4,2,panel_reg_analytic,40000,400000,.42,.42,.421
s4,2,panel_dr_cov,40000,400000,.821,.8180000000000001,.827
s4,2,panel_reg_cluster,40000,400000,.4699999999999999,.468,.471
s4,2,rcs_reg,40000,400000,1.221,1.216,1.238
s4,2,unbal_reg_none,40000,400000,.419,.412,.42
s4,2,panel_reg_wboot,40000,400000,.544,.54,.548
s4,2,agg_dynamic,40000,400000,.0795,.0791,.0796
s4,2,agg_group,40000,400000,.0233,.0232,.0235
s4,3,panel_reg_analytic,5000,50000,.069,.069,.07
s4,3,panel_dr_cov,5000,50000,.173,.173,.174
s4,3,panel_reg_cluster,5000,50000,.075,.075,.076
s4,3,rcs_reg,5000,50000,.203,.203,.206
s4,3,unbal_reg_none,5000,50000,.07,.069,.072
s4,3,panel_reg_wboot,5000,50000,.093,.093,.094
s4,3,agg_dynamic,5000,50000,.0175,.0171,.0177
s4,3,agg_group,5000,50000,.0059,.0058,.006
s4,3,agg_storeall,5000,50000,.1004,.1004,.101
s4,3,panel_reg_analytic,40000,400000,.436,.429,.4399999999999999
s4,3,panel_dr_cov,40000,400000,.832,.829,.832
