arm,round,cell,seconds
head,1,panel_dr_wboot_cluster,.239
head,1,panel_reg_wboot,.164
head,1,panel_reg_varying,.145
head,1,unbal_reg_none_wboot,.259
head,1,panel_reg_storeall,.252
head,1,unbal_dr_none_nocov_w,.296
head,1,rcs_dr_nocov,.285
head,1,panel_ipw_nocov,.161
head,1,rcs_dr_nocov_weighted,.289
head,1,unbal_reg_none,.243
head,1,panel_reg_weighted,.164
head,1,panel_reg_fixw_base,.165
head,1,rcs_reg_wboot,.329
head,1,panel_reg_fast,.144
head,1,panel_dr_anticip2,.188
head,1,rcs_ipw_nocov,.246
head,1,panel_dr_nocov_nofast,.181
head,1,unbal_reg_full,.151
head,1,panel_reg_never_analytic,.141
head,1,rcs_reg,.237
head,1,panel_ipw_notyet_analytic,.208
head,1,unbal_reg_none_cluster,.246
head,1,panel_reg_nofast,.163
head,1,panel_dr_nocov,.146
head,1,unbal_reg_pair,.177
head,1,panel_dr_weighted_cov,.263
head,1,panel_reg_pair,.163
head,1,panel_dr_factor,.232
head,1,unbal_dr_none_cov,.404
head,1,panel_reg_cluster,.151
head,1,panel_dr_notyet_analytic,.223
head,1,rcs_dr_cov,.41
head,2,panel_dr_wboot_cluster,.238
head,2,panel_reg_wboot,.162
head,2,panel_reg_varying,.143
head,2,unbal_reg_none_wboot,.262
head,2,panel_reg_storeall,.254
head,2,unbal_dr_none_nocov_w,.295
head,2,rcs_dr_nocov,.287
head,2,panel_ipw_nocov,.161
head,2,rcs_dr_nocov_weighted,.288
head,2,unbal_reg_none,.242
head,2,panel_reg_weighted,.164
head,2,panel_reg_fixw_base,.165
head,2,rcs_reg_wboot,.326
head,2,panel_reg_fast,.143
head,2,panel_dr_anticip2,.189
head,2,rcs_ipw_nocov,.245
head,2,panel_dr_nocov_nofast,.179
head,2,unbal_reg_full,.151
head,2,panel_reg_never_analytic,.141
head,2,rcs_reg,.24
head,2,panel_ipw_notyet_analytic,.211
head,2,unbal_reg_none_cluster,.26
head,2,panel_reg_nofast,.162
head,2,panel_dr_nocov,.143
head,2,unbal_reg_pair,.178
head,2,panel_dr_weighted_cov,.264
head,2,panel_reg_pair,.162
head,2,panel_dr_factor,.233
head,2,unbal_dr_none_cov,.409
head,2,panel_reg_cluster,.151
head,2,panel_dr_notyet_analytic,.229
head,2,rcs_dr_cov,.406
head,3,panel_dr_wboot_cluster,.237
head,3,panel_reg_wboot,.163
head,3,panel_reg_varying,.144
head,3,unbal_reg_none_wboot,.26
head,3,panel_reg_storeall,.253
head,3,unbal_dr_none_nocov_w,.294
head,3,rcs_dr_nocov,.285
head,3,panel_ipw_nocov,.161
head,3,rcs_dr_nocov_weighted,.29
head,3,unbal_reg_none,.242
head,3,panel_reg_weighted,.163
head,3,panel_reg_fixw_base,.164
head,3,rcs_reg_wboot,.327
head,3,panel_reg_fast,.143
head,3,panel_dr_anticip2,.189
head,3,rcs_ipw_nocov,.243
head,3,panel_dr_nocov_nofast,.178
head,3,unbal_reg_full,.152
head,3,panel_reg_never_analytic,.141
head,3,rcs_reg,.237
head,3,panel_ipw_notyet_analytic,.207
head,3,unbal_reg_none_cluster,.245
head,3,panel_reg_nofast,.161
head,3,panel_dr_nocov,.144
head,3,unbal_reg_pair,.178
head,3,panel_dr_weighted_cov,.263
head,3,panel_reg_pair,.163
head,3,panel_dr_factor,.233
head,3,unbal_dr_none_cov,.407
head,3,panel_reg_cluster,.149
head,3,panel_dr_notyet_analytic,.225
head,3,rcs_dr_cov,.41
s4,1,panel_dr_wboot_cluster,.239
s4,1,panel_reg_wboot,.162
s4,1,panel_reg_varying,.143
s4,1,unbal_reg_none_wboot,.261
s4,1,panel_reg_storeall,.252
s4,1,unbal_dr_none_nocov_w,.294
s4,1,rcs_dr_nocov,.286
s4,1,panel_ipw_nocov,.162
s4,1,rcs_dr_nocov_weighted,.288
s4,1,unbal_reg_none,.241
s4,1,panel_reg_weighted,.164
s4,1,panel_reg_fixw_base,.165
s4,1,rcs_reg_wboot,.325
s4,1,panel_reg_fast,.143
s4,1,panel_dr_anticip2,.187
s4,1,rcs_ipw_nocov,.246
s4,1,panel_dr_nocov_nofast,.179
s4,1,unbal_reg_full,.152
s4,1,panel_reg_never_analytic,.142
s4,1,rcs_reg,.238
s4,1,panel_ipw_notyet_analytic,.208
s4,1,unbal_reg_none_cluster,.245
s4,1,panel_reg_nofast,.162
s4,1,panel_dr_nocov,.146
s4,1,unbal_reg_pair,.177
s4,1,panel_dr_weighted_cov,.264
s4,1,panel_reg_pair,.163
s4,1,panel_dr_factor,.232
s4,1,unbal_dr_none_cov,.407
s4,1,panel_reg_cluster,.148
s4,1,panel_dr_notyet_analytic,.227
s4,1,rcs_dr_cov,.406
s4,2,panel_dr_wboot_cluster,.24
s4,2,panel_reg_wboot,.163
s4,2,panel_reg_varying,.143
s4,2,unbal_reg_none_wboot,.261
s4,2,panel_reg_storeall,.253
s4,2,unbal_dr_none_nocov_w,.292
s4,2,rcs_dr_nocov,.286
s4,2,panel_ipw_nocov,.166
s4,2,rcs_dr_nocov_weighted,.289
s4,2,unbal_reg_none,.241
s4,2,panel_reg_weighted,.165
s4,2,panel_reg_fixw_base,.164
s4,2,rcs_reg_wboot,.326
s4,2,panel_reg_fast,.144
s4,2,panel_dr_anticip2,.187
s4,2,rcs_ipw_nocov,.245
s4,2,panel_dr_nocov_nofast,.181
s4,2,unbal_reg_full,.152
s4,2,panel_reg_never_analytic,.142
s4,2,rcs_reg,.24
s4,2,panel_ipw_notyet_analytic,.208
s4,2,unbal_reg_none_cluster,.245
s4,2,panel_reg_nofast,.162
s4,2,panel_dr_nocov,.143
s4,2,unbal_reg_pair,.177
s4,2,panel_dr_weighted_cov,.263
s4,2,panel_reg_pair,.163
s4,2,panel_dr_factor,.234
s4,2,unbal_dr_none_cov,.402
s4,2,panel_reg_cluster,.148
s4,2,panel_dr_notyet_analytic,.226
s4,2,rcs_dr_cov,.407
s4,3,panel_dr_wboot_cluster,.238
s4,3,panel_reg_wboot,.162
s4,3,panel_reg_varying,.144
s4,3,unbal_reg_none_wboot,.262
s4,3,panel_reg_storeall,.253
s4,3,unbal_dr_none_nocov_w,.293
s4,3,rcs_dr_nocov,.286
s4,3,panel_ipw_nocov,.161
s4,3,rcs_dr_nocov_weighted,.287
s4,3,unbal_reg_none,.24
s4,3,panel_reg_weighted,.166
s4,3,panel_reg_fixw_base,.163
s4,3,rcs_reg_wboot,.325
s4,3,panel_reg_fast,.145
s4,3,panel_dr_anticip2,.187
s4,3,rcs_ipw_nocov,.245
s4,3,panel_dr_nocov_nofast,.18
s4,3,unbal_reg_full,.15
s4,3,panel_reg_never_analytic,.14
s4,3,rcs_reg,.238
s4,3,panel_ipw_notyet_analytic,.209
s4,3,unbal_reg_none_cluster,.243
s4,3,panel_reg_nofast,.161
s4,3,panel_dr_nocov,.142
s4,3,unbal_reg_pair,.177
s4,3,panel_dr_weighted_cov,.264
s4,3,panel_reg_pair,.163
s4,3,panel_dr_factor,.235
s4,3,unbal_dr_none_cov,.405
s4,3,panel_reg_cluster,.148
s4,3,panel_dr_notyet_analytic,.229
s4,3,rcs_dr_cov,.41
base,1,panel_dr_wboot_cluster,.835
base,1,panel_reg_wboot,.759
base,1,panel_reg_varying,.737
base,1,unbal_reg_none_wboot,.857
base,1,panel_reg_storeall,.85
base,1,unbal_dr_none_nocov_w,.887
base,1,rcs_dr_nocov,.892
base,1,panel_ipw_nocov,.756
base,1,rcs_dr_nocov_weighted,.894
base,1,unbal_reg_none,.836
base,1,panel_reg_weighted,.758
base,1,panel_reg_fixw_base,.759
base,1,rcs_reg_wboot,.9330000000000001
base,1,panel_reg_fast,.737
base,1,panel_dr_anticip2,.783
base,1,rcs_ipw_nocov,.853
base,1,panel_dr_nocov_nofast,.776
base,1,unbal_reg_full,.75
base,1,panel_reg_never_analytic,.739
base,1,rcs_reg,.842
base,1,panel_ipw_notyet_analytic,.803
base,1,unbal_reg_none_cluster,.839
base,1,panel_reg_nofast,.758
base,1,panel_dr_nocov,.738
base,1,unbal_reg_pair,.779
base,1,panel_dr_weighted_cov,.854
base,1,panel_reg_pair,.755
base,1,panel_dr_factor,.8280000000000001
base,1,unbal_dr_none_cov,.999
base,1,panel_reg_cluster,.744
base,1,panel_dr_notyet_analytic,.8180000000000001
base,1,rcs_dr_cov,1.014
base,2,panel_dr_wboot_cluster,.832
base,2,panel_reg_wboot,.758
base,2,panel_reg_varying,.737
base,2,unbal_reg_none_wboot,.854
base,2,panel_reg_storeall,.847
base,2,unbal_dr_none_nocov_w,.888
base,2,rcs_dr_nocov,.898
base,2,panel_ipw_nocov,.756
base,2,rcs_dr_nocov_weighted,.895
base,2,unbal_reg_none,.837
base,2,panel_reg_weighted,.757
base,2,panel_reg_fixw_base,.76
base,2,rcs_reg_wboot,.9319999999999999
base,2,panel_reg_fast,.738
base,2,panel_dr_anticip2,.783
base,2,rcs_ipw_nocov,.849
base,2,panel_dr_nocov_nofast,.774
base,2,unbal_reg_full,.747
base,2,panel_reg_never_analytic,.736
base,2,rcs_reg,.848
base,2,panel_ipw_notyet_analytic,.804
base,2,unbal_reg_none_cluster,.842
base,2,panel_reg_nofast,.85
base,2,panel_dr_nocov,.738
base,2,unbal_reg_pair,.774
base,2,panel_dr_weighted_cov,.857
base,2,panel_reg_pair,.757
