round,arm,cell,nunits,seconds
0,base,panel_reg_analytic,5000,0.069
0,base,panel_dr_cov,5000,0.173
0,base,panel_reg_cluster,5000,0.075
0,base,rcs_reg,5000,0.219
0,base,unbal_reg_none,5000,0.068
0,base,panel_reg_wboot,5000,0.092
0,base,agg_dynamic,5000,0.0166
0,base,agg_group,5000,0.0056
0,base,agg_storeall,5000,0.101
0,base,panel_reg_analytic,40000,0.442
0,base,panel_dr_cov,40000,0.8359999999999999
0,base,panel_reg_cluster,40000,0.469
0,base,rcs_reg,40000,1.366
0,base,unbal_reg_none,40000,0.413
0,base,panel_reg_wboot,40000,0.5429999999999999
0,base,agg_dynamic,40000,0.0789
0,base,agg_group,40000,0.0226
0,s6,panel_reg_analytic,5000,0.069
0,s6,panel_dr_cov,5000,0.172
0,s6,panel_reg_cluster,5000,0.074
0,s6,rcs_reg,5000,0.206
0,s6,unbal_reg_none,5000,0.069
0,s6,panel_reg_wboot,5000,0.093
0,s6,agg_dynamic,5000,0.0165
0,s6,agg_group,5000,0.0057
0,s6,agg_storeall,5000,0.0998
0,s6,panel_reg_analytic,40000,0.419
0,s6,panel_dr_cov,40000,0.829
0,s6,panel_reg_cluster,40000,0.474
0,s6,rcs_reg,40000,1.214
0,s6,unbal_reg_none,40000,0.412
0,s6,panel_reg_wboot,40000,0.54
0,s6,agg_dynamic,40000,0.0762
0,s6,agg_group,40000,0.0219
0,head,panel_reg_analytic,5000,0.069
0,head,panel_dr_cov,5000,0.173
0,head,panel_reg_cluster,5000,0.075
0,head,rcs_reg,5000,0.206
0,head,unbal_reg_none,5000,0.07
0,head,panel_reg_wboot,5000,0.096
0,head,agg_dynamic,5000,0.0169
0,head,agg_group,5000,0.0057
0,head,agg_storeall,5000,0.1002
0,head,panel_reg_analytic,40000,0.418
0,head,panel_dr_cov,40000,0.8240000000000001
0,head,panel_reg_cluster,40000,0.463
0,head,rcs_reg,40000,1.209
0,head,unbal_reg_none,40000,0.415
0,head,panel_reg_wboot,40000,0.5509999999999999
0,head,agg_dynamic,40000,0.0734
0,head,agg_group,40000,0.0214
1,s6,panel_reg_analytic,5000,0.068
1,s6,panel_dr_cov,5000,0.172
1,s6,panel_reg_cluster,5000,0.074
1,s6,rcs_reg,5000,0.203
1,s6,unbal_reg_none,5000,0.069
1,s6,panel_reg_wboot,5000,0.092
1,s6,agg_dynamic,5000,0.0164
1,s6,agg_group,5000,0.0054
1,s6,agg_storeall,5000,0.1
1,s6,panel_reg_analytic,40000,0.425
1,s6,panel_dr_cov,40000,0.8400000000000001
1,s6,panel_reg_cluster,40000,0.472
1,s6,rcs_reg,40000,1.214
1,s6,unbal_reg_none,40000,0.417
1,s6,panel_reg_wboot,40000,0.548
1,s6,agg_dynamic,40000,0.075
1,s6,agg_group,40000,0.0219
1,base,panel_reg_analytic,5000,0.07
1,base,panel_dr_cov,5000,0.173
1,base,panel_reg_cluster,5000,0.075
1,base,rcs_reg,5000,0.218
1,base,unbal_reg_none,5000,0.068
1,base,panel_reg_wboot,5000,0.092
1,base,agg_dynamic,5000,0.0164
1,base,agg_group,5000,0.0055
1,base,agg_storeall,5000,0.1006
